Firm,Day,UAP FP,UAP FP adj
Essential,204,1.064,1.23
Essential,218,1.064,1.23
Essential,232,1.064,1.23
Essential,246,1.064,1.23
Essential,261,1.075,1.241
Essential,275,1.087,1.253
Essential,282,1.087,1.253
Essential,289,1.099,1.265
Essential,296,1.064,1.23
Essential,303,1.075,1.241
Essential,310,1.064,1.23
Essential,317,1.099,1.265
Essential,324,2.198,2.364
Essential,331,2.198,2.364
Essential,338,1.075,1.241
Essential,345,2.128,2.294
Essential,354,1.087,1.253
Essential,361,2.128,2.294
Essential,368,1.099,1.265
Essential,387,1.099,1.265
Essential,401,1.087,1.253
Essential,415,0.0,0.166
Essential,429,1.075,1.241
Essential,443,3.261,3.427
Essential,457,1.099,1.265
Essential,471,2.151,2.317
Essential,478,1.111,1.277
Essential,485,2.151,2.317
Essential,499,1.099,1.265
Essential,527,1.087,1.253
Essential,541,1.099,1.265
Essential,576,2.151,2.317
Essential,590,2.174,2.34
Essential,603,2.151,2.317
Essential,617,2.174,2.34
Essential,631,2.174,2.34
Essential,645,1.075,1.241
Essential,659,2.151,2.317
Essential,673,1.075,1.241
Essential,687,1.099,1.265
Essential,701,1.099,1.265
Essential,715,1.075,1.241
Essential,729,1.075,1.241
Essential,743,1.099,1.265
Essential,757,2.151,2.317
ResolvePM,819,3.0,2.868
ResolvePM,856,3.0,2.837
Essential,771,1.087,1.253
Essential,785,1.099,1.265
Essential,799,1.064,1.23
Essential,813,3.261,3.427
Essential,827,2.174,2.328
Essential,841,2.222,2.348
Essential,855,4.255,4.352
ResolvePM,884,3.0,2.812
Essential,869,2.222,2.291
Essential,883,2.128,2.168
Morgan multi-mode,895,1.0,2.38
Morgan multi-mode,909,0.5,2.023
ResolvePM,940,3.0,2.762
Morgan multi-mode,935,0.5,2.289
Morgan multi-mode,949,2.0,3.85
Essential,895,2.151,2.166
Essential,902,2.198,2.201
Essential,944,3.226,3.148
Essential,958,2.174,2.096
Morgan multi-mode,963,1.5,3.35
Essential,972,3.191,3.114
ResolvePM,976,4.0,3.76
Newspoll2,981,4.0,3.638
Morgan multi-mode,975,1.5,3.35
Morgan multi-mode,983,1.0,2.85
Essential,986,3.297,3.219
Newspoll2,995,3.0,2.638
Morgan multi-mode,992,1.0,2.85
Morgan multi-mode,1001,1.0,2.85
Essential,1000,2.174,2.096
Morgan multi-mode,1008,1.0,2.85
Newspoll2,1016,3.0,2.638
Ipsos,1016,2.222,2.35
Morgan multi-mode,1015,1.0,2.85
Essential,1014,3.158,3.08
ResolvePM,1016,3.0,2.76
Newspoll2,1023,4.0,3.638
Morgan multi-mode,1022,1.5,3.35
ResolvePM,1029,4.0,3.76
Newspoll2,1031,4.0,3.638
Morgan multi-mode,1029,1.5,3.35
Essential,1028,4.301,4.224
Ipsos,1037,3.226,3.354
Newspoll2,1037,4.0,3.638
Morgan multi-mode,1036,1.5,3.35
ResolvePM2,1043,5.0,4.402
Newspoll2,1044,4.0,3.638
Morgan multi-mode,1043,1.0,2.85
Essential,1042,4.301,4.224
Ipsos,1051,3.226,3.354
Newspoll2,1051,4.0,3.638
Morgan multi-mode,1050,1.0,2.85
Newspoll2,1057,3.0,2.638
Morgan multi-mode,1057,1.0,2.85
ResolvePM2,1060,4.0,3.402
Essential,1059,3.226,3.148
Ipsos,1062,3.0,3.128
Newspoll2,1061,3.0,2.638
