Firm,Day,ALP FP,ALP FP adj
SMS Morgan,146,37.0,36.759
Redbridge,145,39.1,39.604
SMS Morgan,160,39.0,38.759
SMS Morgan,173,40.0,39.759
YouGov,198,44.0,43.042
SMS Morgan,201,45.0,44.759
ResolvePM,407,37.0,38.092
Redbridge,418,37.0,37.504
ResolvePM,468,40.0,41.092
ResolvePM,529,38.0,39.092
SMS Morgan,567,43.0,42.759
Newspoll2,573,44.0,43.042
SMS Morgan,580,45.0,44.759
ResolvePM,601,41.0,42.092
ResolvePM,710,37.0,38.046
SMS Morgan,799,43.5,43.003
SMS Morgan,841,40.5,39.939
Newspoll2,853,41.0,40.827
Essential,863,40.1,40.255
Morgan multi-mode,844,36.5,36.521
ResolvePM,864,42.0,42.178
Morgan multi-mode,875,42.0,42.021
Morgan multi-mode,905,42.5,42.521
ResolvePM,913,38.0,38.178
Newspoll2,923,37.0,36.827
Freshwater,926,37.0,37.136
SMS Morgan,931,40.0,39.439
Redbridge,924,36.7,36.99
ResolvePM2,939,36.2,36.472
SMS Morgan,944,38.0,37.439
Newspoll2,944,38.0,37.827
