Firm,Day,GRN FP,GRN FP adj
Morgan multi-mode,11,11.5,10.594
Morgan multi-mode,35,12.0,11.094
Morgan multi-mode,49,12.0,11.094
Redbridge,48,11.0,11.419
Spectre,52,13.0,12.413
DemosAU,59,14.0,13.032
Newspoll3,69,12.0,11.61
ResolvePM,69,12.0,12.219
Morgan multi-mode,67,12.0,11.094
Wolf+Smith,77,12.0,11.697
Newspoll3,98,12.0,11.61
ResolvePM,98,12.0,12.219
Morgan multi-mode,95,12.0,11.094
Redbridge,113,11.0,11.419
ResolvePM,126,11.0,11.219
Newspoll3,123,13.0,12.61
Morgan multi-mode,123,12.0,11.094
YouGov2,143,12.0,11.472
Essential,142,11.702,12.558
Newspoll3,144,12.0,11.61
Redbridge,146,11.0,11.419
ResolvePM,154,11.0,11.219
Morgan multi-mode,151,13.0,12.094
DemosAU,169,13.0,12.032
Essential,170,9.574,10.43
Newspoll3,172,11.0,10.61
YouGov2,172,12.0,11.472
Freshwater,173,14.0,13.375
ResolvePM,182,12.0,12.219
Redbridge,186,9.0,9.419
Morgan multi-mode,179,12.5,11.594
Spectre,187,12.5,11.913
Redbridge,193,10.0,10.419
Newspoll3,193,13.0,12.61
YouGov2,191,12.0,11.472
Essential,198,11.458,12.314
Morgan multi-mode,203,13.5,12.594
ResolvePM,211,11.0,11.219
Essential,212,10.526,11.382
Redbridge,215,13.0,13.419
Morgan multi-mode,217,13.0,12.094
ResolvePM,225,12.0,12.219
DemosAU,243,12.0,11.043
Fox & Hedgehog,243,14.0,13.327
Morgan multi-mode,245,13.5,12.563
Newspoll3,251,12.0,11.62
ResolvePM,251,10.0,10.192
Morgan multi-mode,252,13.5,12.54
Freshwater,254,11.0,10.446
DemosAU,254,13.0,12.061
Morgan multi-mode,259,13.0,12.009
YouGov2,260,12.0,11.426
Essential,263,9.574,10.321
Redbridge,263,11.0,11.307
Morgan multi-mode,266,12.5,11.486
Newspoll3,275,12.0,11.638
Morgan multi-mode,273,13.5,12.455
YouGov2,275,12.0,11.393
Morgan multi-mode,279,13.0,11.932
ResolvePM,279,11.0,11.136
Morgan multi-mode,283,12.5,11.417
Redbridge,277,11.0,11.246
Fox & Hedgehog,286,12.0,11.54
DemosAU,286,12.0,11.118
Morgan multi-mode,287,12.5,11.401
Essential,288,11.458,12.103
YouGov2,289,13.0,12.364
Newspoll3,293,11.0,10.651
Redbridge,293,12.0,12.177
Morgan multi-mode,294,11.5,10.378
Morgan multi-mode,301,14.5,13.347
YouGov2,303,13.0,12.335
ResolvePM,308,12.0,12.081
Morgan multi-mode,308,12.5,11.324
YouGov2,307,13.0,12.326
Morgan multi-mode,315,13.5,12.293
Essential,316,10.638,11.165
YouGov2,317,13.0,12.305
Fox & Hedgehog,321,13.0,12.723
Redbridge,321,13.0,13.055
Newspoll3,321,12.0,11.672
Morgan multi-mode,322,13.5,12.27
Morgan multi-mode,329,12.0,10.739
YouGov2,331,13.0,12.276
Morgan multi-mode,336,12.5,11.216
DemosAU,339,13.0,12.215
Freshwater,324,12.0,11.758
ResolvePM,343,12.0,12.01
Newspoll3,342,13.0,12.686
Spectre,332,12.0,11.669
Morgan multi-mode,343,13.5,12.185
YouGov2,345,14.0,13.247
Morgan multi-mode,350,14.0,12.662
Essential,351,11.579,11.954
Freshwater,356,12.0,11.9
Redbridge,354,13.0,12.916
Morgan multi-mode,357,13.0,11.632
YouGov2,359,14.0,13.222
Morgan multi-mode,364,11.5,10.132
SMS Morgan,371,11.5,11.249
Freshwater,371,11.0,10.909
ResolvePM,373,12.0,11.983
Newspoll3,373,12.0,11.698
Wolf+Smith,370,11.0,10.801
Morgan multi-mode,371,11.5,10.132
YouGov2,373,13.0,12.222
DemosAU,375,13.0,12.247
Redbridge,363,11.0,10.899
Morgan multi-mode,378,13.5,12.132
Essential,379,11.458,11.808
Agenda C Synesis,381,11.364,11.249
Redbridge,384,12.0,11.899
Fox & Hedgehog,383,10.0,9.906
Morgan multi-mode,385,13.5,12.132
YouGov2,387,13.0,12.222
Newspoll3,391,11.0,10.698
Morgan multi-mode,392,15.5,14.132
ResolvePM,399,12.0,11.983
Morgan multi-mode,399,14.0,12.632
YouGov2,401,13.0,12.222
DemosAU,405,13.0,12.247
Morgan multi-mode,406,13.5,12.132
DemosAU,407,13.0,12.247
Redbridge,412,14.0,13.899
Newspoll3,412,13.0,12.698
Morgan multi-mode,413,13.0,11.632
YouGov2,415,13.0,12.222
Essential,415,10.638,10.988
Morgan multi-mode,420,14.0,12.632
ResolvePM,427,12.0,11.983
DemosAU,424,14.0,13.247
Morgan multi-mode,427,12.5,11.132
YouGov2,429,12.0,11.222
Newspoll3,433,12.0,11.698
Morgan multi-mode,434,14.0,12.632
Spectre,435,12.0,11.74
Morgan multi-mode,441,14.0,12.632
YouGov2,443,13.0,12.222
Essential,443,12.5,12.85
Redbridge,447,10.0,9.899
Morgan multi-mode,448,15.0,13.632
Agenda C Synesis,434,12.0,11.886
Newspoll3,454,14.0,13.698
Morgan multi-mode,455,15.5,14.132
YouGov2,456,12.0,11.222
ResolvePM,461,12.0,11.983
Morgan multi-mode,462,12.5,11.132
DemosAU,468,12.0,11.247
Morgan multi-mode,469,14.0,12.632
YouGov2,470,12.0,11.222
Redbridge,475,12.0,11.899
Newspoll3,475,13.0,12.698
Morgan multi-mode,476,13.5,12.132
Essential,478,13.0,13.35
