Firm,Day,ONP FP,ONP FP adj
ReachTEL,650,16.3,15.557
Newspoll2,690,8.0,7.948
ReachTEL,908,8.2,7.457
ReachTEL,1069,5.4,4.657
ReachTEL,1258,4.5,3.97
Galaxy,1328,8.0,7.915
uComms,1329,7.7,7.272
Newspoll2,1387,6.0,5.852
Essential,1404,8.0,7.378
uComms,1426,5.9,5.472
Newspoll2,1429,5.0,4.852
Galaxy,1435,1.0,0.915
