Firm,Day,DLP FP,DLP FP adj
F2F Morgan,1,6.0,6.0
F2F Morgan,63,6.0,6.0
F2F Morgan,183,6.0,6.0
F2F Morgan,260,6.0,6.0
F2F Morgan,451,10.0,10.0
F2F Morgan,461,6.0,6.0
F2F Morgan,548,8.0,8.0
F2F Morgan,604,8.0,8.0
F2F Morgan,614,10.0,10.0
F2F Morgan,640,7.0,7.0
F2F Morgan,701,7.0,7.0
F2F Morgan,793,7.0,7.0
F2F Morgan,848,7.0,7.0
F2F Morgan,858,7.0,7.0
F2F Morgan,914,7.0,7.0
F2F Morgan,944,5.0,5.0
F2F Morgan,975,6.0,6.0
F2F Morgan,1006,5.0,5.0
F2F Morgan,1036,5.0,5.0
F2F Morgan,1067,5.0,5.0
F2F Morgan,1077,5.0,5.0
