Firm,Day,ONP FP,ONP FP adj
F2F Morgan,1,9.0,9.202
F2F Morgan,62,7.5,7.702
F2F Morgan,123,8.0,8.202
Newspoll,137,5.0,5.802
F2F Morgan,184,5.0,5.202
Newspoll,229,3.0,3.802
F2F Morgan,245,4.0,4.202
F2F Morgan,307,4.0,4.202
Newspoll,321,3.0,3.802
F2F Morgan,366,4.0,4.202
Newspoll,410,2.0,2.802
F2F Morgan,427,2.5,2.702
F2F Morgan,488,2.0,2.202
Newspoll,502,1.0,1.802
F2F Morgan,549,2.5,2.702
Newspoll,594,1.0,1.802
F2F Morgan,610,2.0,2.202
F2F Morgan,672,2.5,2.702
Newspoll,686,1.0,1.802
F2F Morgan,731,1.5,1.702
Newspoll,775,1.0,1.802
F2F Morgan,792,1.5,1.702
F2F Morgan,853,2.5,2.615
Newspoll,867,3.0,3.864
F2F Morgan,914,4.0,4.014
F2F Morgan,956,6.0,6.0
Newspoll,959,3.0,3.916
F2F Morgan,1020,5.0,5.0
TNS,1020,4.819,5.212
Newspoll,1027,2.0,2.916
TNS,1028,3.488,3.881
Newspoll,1041,3.0,3.916
