Firm,Day,OTH FP,OTH FP adj
Morgan Phone,1,8.0,8.524
Morgan Phone,133,9.5,10.024
Newspoll,244,9.0,8.797
Newspoll,305,8.0,7.797
Newspoll,366,8.0,7.797
Newspoll,428,8.0,7.797
Morgan Phone,480,6.5,7.024
Newspoll,488,9.0,8.797
Morgan Phone,557,6.5,7.024
Newspoll,610,11.0,10.797
Morgan Phone,620,8.0,8.524
Newspoll,671,9.0,8.797
JWS Research,722,5.0,5.626
Essential,725,7.0,7.024
Newspoll,732,10.0,9.797
ReachTEL,787,12.9,12.974
Newspoll,794,8.0,7.797
ReachTEL,815,8.3,8.374
ReachTEL,827,5.9,5.974
Nielsen,829,9.0,8.859
Essential,836,7.0,7.024
Newspoll,853,8.0,7.797
ReachTEL,864,3.7,3.774
Essential,898,12.0,12.024
ReachTEL,914,10.4,10.474
Newspoll,914,10.0,9.797
Newspoll,975,8.0,7.797
Newspoll,1036,9.0,8.797
Essential,1082,8.0,8.024
ReachTEL,1088,9.9,9.974
Nielsen,1089,9.0,8.859
Essential,1111,9.0,9.024
Essential,1142,8.0,8.024
Essential,1173,8.0,8.024
Nielsen,1185,9.0,8.859
Galaxy,1185,7.0,7.316
Newspoll,1185,10.0,9.797
Essential,1201,10.0,10.024
Essential,1232,8.0,8.006
Essential,1262,12.0,11.969
Newspoll,1279,9.0,8.832
Essential,1293,9.0,8.928
Nielsen,1299,7.0,7.366
Essential,1324,10.0,9.891
Nielsen,1327,8.0,8.539
Newspoll,1340,12.0,11.865
Galaxy,1354,10.0,10.095
Essential,1355,10.0,9.873
Essential,1385,11.0,10.873
SMS Morgan,1398,10.5,10.338
Essential,1412,7.5,7.373
Essential,1415,11.0,10.873
Galaxy,1423,9.0,9.095
ReachTEL,1424,10.6,10.39
SMS Morgan,1426,10.0,9.838
Ipsos,1427,9.0,9.252
Newspoll,1429,7.0,6.865
Ipsos,1439,6.0,6.252
SMS Morgan,1442,7.5,7.338
Essential,1444,8.0,7.873
SMS Morgan,1445,10.0,9.838
Galaxy,1450,8.0,8.095
SMS Morgan,1454,9.5,9.338
Galaxy,1456,8.0,8.095
Newspoll,1457,9.0,8.865
Ipsos,1457,8.0,8.252
SMS Morgan,1458,6.0,5.838
ReachTEL,1458,8.5,8.29
