Firm,Day,LNP FP,LNP FP adj
F2F Morgan,1,24.0,26.109
F2F Morgan,62,24.0,26.109
F2F Morgan,123,25.5,27.609
Newspoll,137,32.0,30.642
F2F Morgan,184,28.0,30.109
Newspoll,229,38.0,36.642
F2F Morgan,245,33.0,35.109
F2F Morgan,307,31.5,33.609
Newspoll,321,35.0,33.642
F2F Morgan,366,30.0,32.109
Newspoll,410,33.0,31.642
F2F Morgan,427,30.5,32.609
F2F Morgan,488,29.5,31.609
Newspoll,502,34.0,32.642
F2F Morgan,549,31.0,33.109
Newspoll,594,34.0,32.642
F2F Morgan,610,32.0,34.109
F2F Morgan,672,31.5,33.609
Newspoll,686,31.0,29.642
F2F Morgan,731,28.5,30.609
Newspoll,775,38.0,36.642
F2F Morgan,792,30.5,32.609
F2F Morgan,853,32.0,33.901
Newspoll,867,36.0,34.988
F2F Morgan,914,30.0,31.66
F2F Morgan,956,30.0,31.628
Newspoll,959,35.0,34.271
F2F Morgan,1020,32.0,33.628
TNS,1020,36.145,35.978
Newspoll,1027,36.0,35.271
TNS,1028,34.884,34.717
Newspoll,1041,33.0,32.271
