Firm,Day,LNP FP,LNP FP adj
F2F Morgan,1,30.0,31.519
Nielsen,21,30.0,31.479
F2F Morgan,32,32.5,34.019
F2F Morgan,63,32.0,33.519
Nielsen,82,32.0,33.479
F2F Morgan,93,33.5,35.019
Newspoll,110,39.0,34.086
F2F Morgan,124,34.0,35.519
Nielsen,151,31.0,32.479
F2F Morgan,155,32.0,33.519
Newspoll,171,42.0,37.086
F2F Morgan,185,33.5,35.019
F2F Morgan,216,35.5,37.019
Newspoll,232,40.0,35.086
Nielsen,237,35.0,36.479
F2F Morgan,246,31.5,33.019
F2F Morgan,277,33.0,34.519
Newspoll,294,40.0,35.086
F2F Morgan,308,33.5,35.019
Nielsen,327,32.0,33.479
F2F Morgan,337,31.0,32.519
Newspoll,354,41.0,36.086
F2F Morgan,368,29.5,31.019
F2F Morgan,398,32.5,34.019
Newspoll,415,38.0,33.086
F2F Morgan,429,29.5,31.019
F2F Morgan,459,31.5,33.019
Nielsen,473,31.0,32.479
Newspoll,476,42.0,37.086
F2F Morgan,490,33.0,34.519
F2F Morgan,521,33.5,35.019
Newspoll,537,38.0,33.086
Nielsen,550,33.0,34.479
F2F Morgan,551,29.5,31.019
F2F Morgan,582,29.5,31.019
Newspoll,598,42.0,37.086
F2F Morgan,612,33.0,34.519
F2F Morgan,643,33.5,35.019
Newspoll,660,38.0,33.086
F2F Morgan,674,30.0,31.519
Nielsen,699,29.0,30.479
F2F Morgan,702,27.0,28.519
Newspoll,719,36.0,31.086
F2F Morgan,733,28.5,30.019
F2F Morgan,763,29.5,31.019
Newspoll,780,34.0,29.086
F2F Morgan,794,30.5,32.019
F2F Morgan,824,34.5,36.019
Newspoll,841,41.0,36.086
F2F Morgan,855,33.0,34.519
Nielsen,862,33.0,34.479
F2F Morgan,886,34.5,36.019
Newspoll,902,44.0,39.086
F2F Morgan,916,36.5,38.019
F2F Morgan,947,33.0,34.519
Newspoll,963,44.0,39.086
F2F Morgan,977,42.0,43.519
F2F Morgan,1008,35.0,36.519
Newspoll,1025,42.0,37.086
F2F Morgan,1039,38.0,39.519
F2F Morgan,1067,36.0,37.519
Newspoll,1084,36.0,31.086
F2F Morgan,1098,39.5,41.019
F2F Morgan,1128,34.5,36.019
Newspoll,1145,42.0,37.086
F2F Morgan,1159,33.0,34.519
F2F Morgan,1189,37.5,39.019
Newspoll,1206,40.0,35.335
F2F Morgan,1220,33.0,34.547
F2F Morgan,1251,35.0,36.588
Newspoll,1267,40.0,37.268
F2F Morgan,1281,35.0,36.626
F2F Morgan,1312,34.0,35.664
Newspoll,1328,38.0,36.826
F2F Morgan,1342,33.0,34.672
F2F Morgan,1373,30.5,32.172
Newspoll,1390,36.0,34.826
F2F Morgan,1404,31.5,33.172
Nielsen,1415,39.0,38.179
Nielsen,1423,36.0,35.179
Newspoll,1426,35.0,33.826
Morgan Phone,1430,30.0,30.867
Nielsen,1430,35.0,34.179
Nielsen,1437,34.0,33.179
Newspoll,1437,33.0,31.826
