Firm,Day,OTH FP,OTH FP adj
Newspoll,1,5.0,4.948
Newspoll,62,6.0,5.948
Newspoll,124,8.0,7.948
Nielsen,148,5.0,5.54
Newspoll,184,8.0,7.948
Newspoll,245,7.0,6.948
Newspoll,306,9.0,8.948
Newspoll,367,7.0,6.948
Nielsen,416,6.0,6.54
Newspoll,428,5.0,4.948
Newspoll,490,6.0,5.948
Newspoll,610,7.0,6.948
Newspoll,671,10.0,9.948
Newspoll,732,7.0,6.948
Saulwick,782,4.0,4.796
Newspoll,793,10.0,9.948
Nielsen,854,7.0,7.54
Newspoll,855,8.0,7.948
Morgan Phone,877,6.5,7.038
Newspoll,914,8.0,7.955
Newspoll,975,12.0,12.149
Morgan Phone,984,10.5,11.175
Newspoll,1036,9.0,9.324
Essential,1097,10.0,9.22
Galaxy,1102,5.0,5.667
Morgan Phone,1114,4.5,5.266
Newspoll,1122,6.0,6.324
Nielsen,1123,8.0,8.093
Nielsen,1138,6.0,6.093
Newspoll,1137,5.0,5.324
Morgan Phone,1144,4.0,4.766
Galaxy,1145,6.0,6.667
JWS Research,1148,7.0,7.24
Galaxy,1151,6.0,6.667
Morgan Phone,1151,7.0,7.766
Nielsen,1151,7.0,7.093
Newspoll,1151,7.0,7.324
