Firm,Day,OTH FP,OTH FP adj
Westpoll,60,2.0,3.593
Westpoll,128,2.0,3.593
Newspoll,159,7.0,7.021
Westpoll,176,5.0,6.593
Westpoll,273,6.0,7.593
Westpoll,340,6.0,7.593
Westpoll,401,4.0,5.593
Westpoll,500,5.0,6.593
Newspoll,524,7.0,7.021
Newspoll,614,8.0,8.021
Newspoll,706,9.0,9.021
Newspoll,797,9.0,9.021
Newspoll,889,9.0,9.021
Newspoll,978,9.0,9.021
Newspoll,1071,10.0,10.021
Newspoll,1163,9.0,9.021
Westpoll,1228,6.0,7.593
Newspoll,1254,9.0,9.021
Morgan Phone,1331,7.5,7.893
Westpoll,1401,8.0,9.584
Morgan Phone,1418,11.0,11.389
Newspoll,1437,10.0,10.121
Newspoll,1529,9.0,9.337
Westpoll,1591,5.0,6.06
Newspoll,1611,6.0,6.337
Galaxy,1625,6.0,6.463
Newspoll,1639,6.0,6.337
