Firm,Day,OTH FP,OTH FP adj
AGB McNair,1,8.651,7.636
Newspoll,3,8.619,10.042
F2F Morgan,7,9.11,9.932
Newspoll,17,6.67,8.094
AGB McNair,19,7.663,6.648
F2F Morgan,21,8.615,9.438
AGB McNair,29,7.601,6.586
Newspoll,31,7.586,9.009
F2F Morgan,35,3.609,4.432
AGB McNair,42,10.606,9.591
Newspoll,45,5.588,7.011
F2F Morgan,49,4.099,4.922
AGB McNair,56,7.644,6.629
Newspoll,59,5.656,7.079
F2F Morgan,63,4.127,4.949
AGB McNair,70,9.61,8.595
Newspoll,73,7.613,9.036
F2F Morgan,77,5.618,6.441
AGB McNair,84,9.583,8.568
Newspoll,87,6.549,7.972
F2F Morgan,91,6.038,6.861
AGB McNair,98,9.524,8.509
Newspoll,101,7.533,8.957
F2F Morgan,105,5.529,6.351
AGB McNair,112,9.518,8.503
Newspoll,115,5.52,6.943
F2F Morgan,119,5.514,6.337
AGB McNair,126,10.496,9.481
Newspoll,129,8.499,9.923
F2F Morgan,133,5.967,6.79
AGB McNair,139,11.429,10.414
Newspoll,143,9.396,10.82
F2F Morgan,147,5.935,6.757
AGB McNair,153,11.4,10.385
Newspoll,157,11.416,12.84
F2F Morgan,157,4.916,5.739
AGB McNair,168,15.0,13.985
F2F Morgan,168,6.351,7.174
Newspoll,171,13.177,14.6
AGB McNair,182,15.0,13.985
F2F Morgan,182,5.229,6.051
Newspoll,185,10.759,12.182
Newspoll,192,7.834,9.257
AGB McNair,196,15.0,13.985
F2F Morgan,196,5.388,6.211
Newspoll,206,10.926,12.35
AGB McNair,210,13.0,11.985
F2F Morgan,210,7.443,8.265
Newspoll,220,8.973,10.396
AGB McNair,224,12.0,10.985
F2F Morgan,224,11.982,12.805
Newspoll,234,7.982,9.406
AGB McNair,238,12.0,10.985
F2F Morgan,238,5.479,6.302
Newspoll,248,9.009,10.432
AGB McNair,252,11.0,9.985
F2F Morgan,252,7.013,7.836
Newspoll,262,10.04,11.464
F2F Morgan,266,8.582,9.405
AGB McNair,269,13.0,11.985
Newspoll,276,10.198,11.621
AGB McNair,294,11.0,9.985
F2F Morgan,301,10.5,11.323
Newspoll,304,8.799,10.223
AGB McNair,304,10.0,8.985
F2F Morgan,315,9.5,10.323
Newspoll,318,8.975,10.398
AGB McNair,322,10.0,8.985
F2F Morgan,329,10.5,11.323
Newspoll,332,6.926,8.349
AGB McNair,336,12.0,10.985
F2F Morgan,343,11.0,11.823
Newspoll,346,8.718,10.141
AGB McNair,350,13.0,11.985
F2F Morgan,357,11.0,11.823
Newspoll,360,9.902,11.325
AGB McNair,364,13.0,11.985
F2F Morgan,371,11.5,12.323
Newspoll,374,6.77,8.194
AGB McNair,378,11.0,9.985
F2F Morgan,385,11.5,12.323
AGB McNair,392,12.0,10.985
Newspoll,395,8.655,10.079
F2F Morgan,399,10.5,11.323
AGB McNair,406,13.0,11.985
Newspoll,409,9.504,10.928
F2F Morgan,413,10.5,11.323
AGB McNair,420,11.0,9.985
Newspoll,423,6.648,8.071
F2F Morgan,427,10.0,10.823
AGB McNair,434,10.0,8.985
Newspoll,437,3.724,5.148
F2F Morgan,438,7.5,8.323
AGB McNair,448,10.0,8.985
F2F Morgan,448,9.0,9.823
Newspoll,451,6.941,8.364
AGB McNair,462,9.0,7.985
F2F Morgan,462,8.0,8.823
Newspoll,465,7.877,9.3
AGB McNair,476,9.0,7.985
F2F Morgan,476,9.0,9.823
Newspoll,479,7.842,9.265
AGB McNair,490,11.0,9.985
F2F Morgan,490,10.0,10.823
Newspoll,493,7.735,9.158
F2F Morgan,501,9.0,9.823
Newspoll,507,7.705,9.128
F2F Morgan,508,8.5,9.323
AGB McNair,504,9.0,7.985
F2F Morgan,515,9.0,9.823
AGB McNair,518,12.0,10.985
Newspoll,521,7.565,8.988
F2F Morgan,525,8.5,9.323
AGB McNair,532,10.0,8.985
