Firm,Day,ALP FP,ALP FP adj
F2F Morgan,1,48.0,46.95
F2F Morgan,60,46.0,44.95
F2F Morgan,115,47.5,46.45
F2F Morgan,185,47.0,45.95
Newspoll,197,48.0,48.539
F2F Morgan,242,49.5,48.45
Newspoll,286,47.0,47.539
F2F Morgan,301,50.0,48.95
F2F Morgan,364,49.0,47.95
Newspoll,378,48.0,48.539
F2F Morgan,425,48.5,47.45
Newspoll,470,45.0,45.539
F2F Morgan,486,49.0,47.95
F2F Morgan,548,52.0,50.95
Newspoll,562,47.0,47.539
F2F Morgan,608,48.0,46.95
Newspoll,652,50.0,50.539
F2F Morgan,669,52.5,51.45
F2F Morgan,730,49.0,47.879
Newspoll,744,49.0,49.617
F2F Morgan,791,51.0,49.773
Newspoll,836,43.0,43.707
F2F Morgan,852,51.5,50.246
F2F Morgan,906,53.0,51.746
Newspoll,913,52.0,52.707
Newspoll,928,49.0,49.707
