Firm,Day,OTH FP,OTH FP adj
Newspoll,1,13.0,13.587
Newspoll,91,18.0,18.587
Newspoll,113,16.0,16.587
Newspoll,152,13.0,13.587
Newspoll,214,18.0,18.587
Newspoll,275,13.0,13.587
Newspoll,367,15.0,15.587
Newspoll,426,11.0,11.587
Newspoll,487,11.0,11.587
Newspoll,548,13.0,13.587
Newspoll,609,15.0,15.587
Newspoll,670,13.0,13.587
Newspoll,732,10.0,10.587
Newspoll,791,13.0,13.587
Newspoll,852,12.0,12.587
Newspoll,913,14.0,14.587
Newspoll,974,11.0,11.587
Newspoll,1035,12.0,12.587
Newspoll,1097,15.0,15.587
Newspoll,1135,15.0,15.587
Newspoll,1142,16.0,16.587
Newspoll,1147,18.0,18.587
