Firm,Day,ALP FP,ALP FP adj
Galaxy,1,23.0,22.981
Morgan Phone,19,28.0,28.06
ReachTEL,42,21.8,21.899
Morgan Phone,55,28.0,28.06
Morgan Phone,82,27.5,27.56
Newspoll,86,30.0,31.049
ReachTEL,85,31.6,31.699
Galaxy,95,30.0,29.981
ReachTEL,116,34.7,34.799
ReachTEL,146,30.5,30.599
Newspoll,178,31.0,32.049
ReachTEL,186,34.2,34.299
Galaxy,186,33.0,32.981
Essential,194,35.0,34.214
ReachTEL,207,32.1,32.199
ReachTEL,242,34.9,34.999
Newspoll,270,27.0,28.049
ReachTEL,277,28.9,28.999
Galaxy,277,34.0,33.981
Essential,298,29.0,28.214
ReachTEL,305,30.2,30.299
ReachTEL,333,29.2,29.299
Newspoll,359,29.0,30.049
Galaxy,366,32.0,31.981
ReachTEL,366,28.5,28.599
ReachTEL,415,37.0,37.099
Galaxy,445,34.0,33.981
Galaxy,542,33.0,32.981
Newspoll,543,32.0,33.049
Essential,543,32.0,31.214
Essential,573,34.0,33.214
Essential,604,38.0,37.214
Galaxy,629,36.0,35.981
Newspoll,635,36.0,37.049
Essential,635,39.0,38.214
Essential,663,34.0,33.214
ReachTEL,681,35.1,35.199
Essential,694,40.0,39.214
Newspoll,724,34.0,35.049
Essential,724,36.0,35.214
Galaxy,732,34.0,33.981
ReachTEL,745,34.0,34.098
Essential,756,35.0,34.251
ReachTEL,773,34.4,34.478
Essential,786,38.0,37.342
ReachTEL,792,34.6,34.665
ReachTEL,808,41.0,41.054
Galaxy,814,36.0,35.968
Newspoll,816,32.0,32.906
Essential,817,37.0,36.439
ReachTEL,836,36.0,36.034
Essential,848,37.0,36.531
SMS Morgan,860,35.5,35.349
ReachTEL,872,36.6,36.614
Essential,878,38.0,37.579
SMS Morgan,888,38.5,38.342
Newspoll,908,36.0,36.811
Galaxy,912,38.0,37.959
SMS Morgan,916,39.0,38.842
ReachTEL,921,37.3,37.314
Essential,930,37.0,36.579
ReachTEL,960,38.1,38.114
Newspoll,962,37.0,37.811
Galaxy,962,38.0,37.959
SMS Morgan,971,37.0,36.842
Essential,972,38.0,37.579
ReachTEL,974,36.7,36.714
Newspoll,982,37.0,37.811
Galaxy,982,37.0,36.959
ReachTEL,983,37.2,37.214
