Firm,Day,LIB FP,LIB FP adj
Newspoll,1,43.0,41.61
Newspoll,93,42.0,40.61
Newspoll,185,44.0,42.61
Newspoll,277,39.0,37.61
Newspoll,366,38.0,36.61
F2F Morgan,446,34.0,36.232
Newspoll,458,36.0,34.61
F2F Morgan,505,36.0,38.232
Newspoll,550,41.0,39.61
F2F Morgan,560,35.5,37.732
F2F Morgan,630,35.0,37.232
Newspoll,642,43.0,41.61
F2F Morgan,687,36.5,38.732
Newspoll,731,40.0,38.61
F2F Morgan,746,34.0,36.232
F2F Morgan,809,36.0,38.232
Newspoll,823,38.0,36.61
F2F Morgan,870,33.5,35.732
Newspoll,915,36.0,34.61
F2F Morgan,931,36.5,38.732
F2F Morgan,993,31.5,33.732
Westpoll,997,33.0,31.289
Newspoll,1007,37.0,35.61
Westpoll,1026,39.0,37.289
F2F Morgan,1053,33.0,35.232
Westpoll,1057,38.0,36.289
Westpoll,1091,41.0,39.289
Newspoll,1097,37.0,35.61
F2F Morgan,1114,31.5,33.732
Westpoll,1120,37.0,35.289
Westpoll,1148,41.0,39.32
F2F Morgan,1175,31.5,33.143
Newspoll,1189,35.0,34.221
F2F Morgan,1236,36.0,36.935
Westpoll,1240,37.0,35.451
Westpoll,1274,35.0,33.46
Newspoll,1281,34.0,33.756
F2F Morgan,1297,32.0,32.817
Westpoll,1343,45.238,43.698
Westpoll,1359,37.931,36.391
Newspoll,1366,35.0,34.756
