Firm,Day,OTH FP,OTH FP adj
Newspoll,1,5.773,7.26
Newspoll,93,5.715,7.202
F2F Morgan,139,9.5,8.871
Newspoll,183,5.355,6.842
F2F Morgan,188,9.0,8.371
Newspoll,275,6.063,7.55
Newspoll,367,9.992,11.479
Newspoll,459,12.072,13.559
Newspoll,548,15.202,16.689
Newspoll,640,16.201,17.688
Newspoll,732,16.371,17.806
Newspoll,824,18.0,19.29
Morgan Phone,864,21.0,20.408
Newspoll,913,18.0,19.29
Newspoll,928,20.0,21.29
Morgan Phone,936,25.5,24.908
Morgan Phone,940,25.5,24.908
Newspoll,940,23.0,24.29
Nielsen,940,32.294,30.472
