Firm,Day,ONP FP,ONP FP adj
DemosAU,1102,21.0,20.246
ResolvePM,1093,11.0,12.174
SMS Morgan,1111,26.5,25.423
Freshwater,1117,23.0,22.429
Redbridge,1119,24.0,23.058
Freshwater,1145,20.0,19.467
ResolvePM,1155,21.0,21.314
SMS Morgan,1178,24.5,23.363
Freshwater,1223,25.0,24.499
DemosAU,1225,23.0,22.519
ResolvePM,1217,24.0,24.119
Redbridge,1239,27.0,25.946
ResolvePM,1252,22.0,22.119
Newspoll3,1271,19.0,19.582
Redbridge,1276,22.0,20.946
Freshwater,1279,22.0,21.499
SMS Morgan,1283,23.5,22.363
YouGov2,1244,24.0,23.356
DemosAU,1285,22.0,21.519
ResolvePM,1289,23.0,23.119
