Firm,Day,ALP FP,ALP FP adj
Newspoll,1,40.0,40.383
Newspoll,62,40.0,40.383
Newspoll,123,39.0,39.383
Newspoll,185,41.0,41.383
F2F Morgan,199,49.5,44.644
F2F Morgan,228,44.0,39.144
Newspoll,245,37.0,37.383
Taverner,253,36.0,36.338
F2F Morgan,259,43.5,38.644
F2F Morgan,289,42.5,37.644
Newspoll,306,39.0,39.383
F2F Morgan,320,40.5,35.644
F2F Morgan,350,44.0,39.144
Newspoll,367,38.0,38.383
F2F Morgan,381,41.5,36.644
F2F Morgan,412,40.0,35.144
Newspoll,428,34.0,34.383
F2F Morgan,442,42.0,37.144
F2F Morgan,473,42.5,37.644
Newspoll,489,35.0,35.383
F2F Morgan,503,36.0,31.144
F2F Morgan,534,42.5,37.644
Newspoll,551,35.0,35.383
F2F Morgan,565,41.5,36.644
F2F Morgan,593,39.5,34.644
Newspoll,610,38.0,38.383
F2F Morgan,624,42.0,37.144
F2F Morgan,654,41.0,36.144
Newspoll,671,37.0,37.383
F2F Morgan,685,42.5,37.644
F2F Morgan,715,42.0,37.144
Newspoll,732,39.0,39.383
F2F Morgan,746,48.0,43.144
F2F Morgan,777,43.5,38.644
Newspoll,793,38.0,38.383
F2F Morgan,807,43.5,38.644
F2F Morgan,838,43.0,38.144
Newspoll,854,34.0,34.383
F2F Morgan,868,43.5,38.644
F2F Morgan,900,43.0,38.144
Newspoll,916,34.0,34.383
F2F Morgan,930,39.0,34.144
F2F Morgan,958,43.0,38.144
Newspoll,975,36.0,36.383
F2F Morgan,989,42.5,37.644
F2F Morgan,1019,42.5,37.644
Newspoll,1036,38.0,38.383
F2F Morgan,1050,46.0,41.144
F2F Morgan,1080,42.5,37.644
Nielsen,1097,40.0,39.829
Newspoll,1097,41.0,41.367
F2F Morgan,1111,49.5,44.544
Galaxy,1128,35.0,35.717
F2F Morgan,1142,48.0,42.907
Newspoll,1158,41.0,41.25
F2F Morgan,1172,43.0,37.77
F2F Morgan,1203,45.5,40.125
Galaxy,1189,39.0,39.973
Nielsen,1206,36.0,36.272
Newspoll,1219,39.0,39.149
F2F Morgan,1233,50.5,45.097
F2F Morgan,1264,48.5,43.097
Newspoll,1281,45.0,45.149
Taverner,1281,39.0,39.699
Nielsen,1304,46.0,46.288
Newspoll,1319,42.0,42.149
Nielsen,1329,41.0,41.288
Galaxy,1329,38.0,39.055
Newspoll,1330,42.0,42.149
