Firm,Day,OTH FP,OTH FP adj
F2F Morgan,1,18.0,19.518
F2F Morgan,62,18.0,19.518
F2F Morgan,123,20.0,21.518
Newspoll,137,15.0,14.359
F2F Morgan,184,15.0,16.518
Newspoll,229,10.0,9.359
F2F Morgan,245,12.0,13.518
F2F Morgan,307,12.0,13.518
Newspoll,321,18.0,17.359
F2F Morgan,366,12.0,13.518
Newspoll,410,17.0,16.359
F2F Morgan,427,9.5,11.018
F2F Morgan,488,10.0,11.518
Newspoll,502,16.0,15.359
F2F Morgan,549,10.5,12.018
Newspoll,594,13.0,12.359
F2F Morgan,610,11.0,12.518
F2F Morgan,672,10.5,12.018
Newspoll,686,13.0,12.359
F2F Morgan,731,8.5,10.018
Newspoll,775,14.0,13.359
F2F Morgan,792,9.5,11.018
F2F Morgan,853,11.5,12.719
Newspoll,867,16.0,15.72
F2F Morgan,914,12.0,12.873
F2F Morgan,956,12.5,13.327
Newspoll,959,15.0,15.016
F2F Morgan,1020,12.5,13.327
TNS,1020,10.843,11.534
Newspoll,1027,10.0,10.016
TNS,1028,10.465,11.156
Newspoll,1041,12.0,12.016
