Firm,Day,LNP FP,LNP FP adj
F2F Morgan,1,26.5,29.116
F2F Morgan,60,33.0,35.616
F2F Morgan,115,33.0,35.616
F2F Morgan,185,35.0,37.616
Newspoll,197,39.0,36.777
F2F Morgan,242,33.5,36.116
Newspoll,286,40.0,37.777
F2F Morgan,301,31.5,34.116
F2F Morgan,364,34.5,37.116
Newspoll,378,40.0,37.777
F2F Morgan,425,34.5,37.116
Newspoll,470,44.0,41.777
F2F Morgan,486,33.5,36.116
F2F Morgan,548,32.5,35.116
Newspoll,562,39.0,36.777
F2F Morgan,608,35.5,38.116
Newspoll,652,37.0,34.777
F2F Morgan,669,28.5,31.116
F2F Morgan,730,34.0,35.933
Newspoll,744,38.0,36.541
F2F Morgan,791,33.5,34.423
Newspoll,836,39.0,38.415
F2F Morgan,852,32.5,33.163
F2F Morgan,906,34.0,34.663
Newspoll,913,34.0,33.415
Newspoll,928,26.0,25.415
