Firm,Day,LNP FP,LNP FP adj
Essential,1,30.0,30.94107875311766
Galaxy,55,36.0,36.30746011802289
Galaxy,147,35.0,35.30746011802289
Galaxy,237,37.0,37.30746011802289
Galaxy,330,34.0,34.30746011802289
Galaxy,426,35.0,35.30746011802289
Galaxy,622,37.0,37.30746011802289
Galaxy,783,35.0,35.30746011802289
Galaxy,902,38.0,38.42411123565001
Newspoll2,954,38.0,38.38965267361455
Galaxy,1018,37.0,37.45637643839794
Newspoll2,1032,37.0,37.38965267361455
SMS Morgan,1041,35.0,35.69389446389187
Newspoll2,1048,36.0,36.38965267361455
