Firm,Day,LIB FP,LIB FP adj
Newspoll,1,34.0,35.42
Newspoll,93,39.0,40.42
Newspoll,185,42.0,43.42
Newspoll,276,46.0,47.42
Newspoll,338,44.0,45.42
Newspoll,427,35.0,36.42
Newspoll,519,41.0,42.42
Newspoll,611,44.0,45.42
Newspoll,703,43.0,44.42
Newspoll,793,39.0,40.42
Newspoll,885,45.0,46.42
Newspoll,977,43.0,44.42
Newspoll,1055,41.0,42.42
