Firm,Day,ALP FP,ALP FP adj
ResolvePM,373,28.0,27.747
ResolvePM,434,28.0,27.747
ResolvePM,498,30.0,29.747
ResolvePM,557,31.0,30.747
ResolvePM,649,34.0,33.747
ResolvePM,861,43.0,42.571
Essential,867,36.782,36.777
Morgan multi-mode,875,34.0,34.981
Newspoll2,881,40.0,38.727
Freshwater,905,37.0,36.571
Morgan multi-mode,905,36.5,37.664
ResolvePM,922,38.0,37.308
Morgan multi-mode,936,35.0,36.348
Morgan multi-mode,966,33.5,34.885
YouGov,998,39.0,37.467
Morgan multi-mode,998,32.5,33.885
ResolvePM,1004,37.0,36.22
Newspoll2,1035,36.0,34.467
Freshwater,1037,39.0,38.455
ResolvePM,1038,38.0,37.22
SMS Morgan,1039,33.5,33.96
SMS Morgan,1053,34.0,34.46
ResolvePM2,1058,38.0,37.643
Freshwater,1061,37.0,36.455
Newspoll2,1062,38.0,36.467
