Firm,Day,ONP FP,ONP FP adj
Essential,1022,nan,nan
Newspoll2,1021,nan,nan
ReachTEL,1021,nan,nan
Essential,1020,nan,nan
Galaxy,1020,nan,nan
Ipsos,1019,nan,nan
Essential,1016,nan,nan
Newspoll2,1016,nan,nan
ReachTEL,1014,nan,nan
Galaxy,1012,nan,nan
Essential,1009,nan,nan
Newspoll2,1009,nan,nan
ReachTEL,1007,nan,nan
Ipsos,1006,nan,nan
Essential,1002,nan,nan
ReachTEL,1000,nan,nan
Essential,995,nan,nan
Newspoll2,995,nan,nan
ReachTEL,993,nan,nan
Ipsos,992,nan,nan
Essential,988,nan,nan
Roy Morgan,985,nan,nan
ReachTEL,986,nan,nan
Essential,981,nan,nan
Newspoll2,981,nan,nan
ReachTEL,979,nan,nan
Ipsos,978,nan,nan
Roy Morgan,975,nan,nan
Essential,974,nan,nan
Lonergan,967,nan,nan
Essential,967,nan,nan
Newspoll2,967,nan,nan
Ipsos,966,nan,nan
Galaxy,965,nan,nan
ReachTEL,965,nan,nan
Essential,959,nan,nan
Roy Morgan,987,nan,nan
Essential,952,nan,nan
Newspoll2,946,nan,nan
Essential,945,nan,nan
Roy Morgan,943,nan,nan
Ipsos,945,nan,nan
ReachTEL,944,nan,nan
Essential,938,nan,nan
Newspoll2,932,nan,nan
Roy Morgan,929,nan,nan
ReachTEL,920,nan,nan
Newspoll2,918,nan,nan
Essential,917,nan,nan
Roy Morgan,915,nan,nan
Ipsos,910,nan,nan
Newspoll2,904,nan,nan
Essential,903,nan,nan
Roy Morgan,902,nan,nan
Essential,896,nan,nan
Newspoll2,890,nan,nan
Essential,889,nan,nan
Roy Morgan,887,nan,nan
Ipsos,882,nan,nan
ReachTEL,881,nan,nan
Essential,875,nan,nan
Roy Morgan,873,nan,nan
Newspoll2,869,nan,nan
Roy Morgan,859,nan,nan
ReachTEL,860,nan,nan
Essential,856,nan,nan
Roy Morgan,845,nan,nan
Essential,823,nan,nan
Roy Morgan,817,nan,nan
Essential,816,nan,nan
Newspoll2,813,nan,nan
Essential,809,nan,nan
Roy Morgan,803,nan,nan
ReachTEL,804,nan,nan
Essential,802,nan,nan
Newspoll2,799,nan,nan
Roy Morgan,789,nan,nan
Ipsos,791,nan,nan
Essential,788,nan,nan
Newspoll2,785,nan,nan
Essential,781,nan,nan
Roy Morgan,775,nan,nan
Essential,774,nan,nan
Newspoll2,771,nan,nan
ReachTEL,769,nan,nan
Essential,767,nan,nan
Roy Morgan,761,nan,nan
Ipsos,763,nan,nan
Essential,760,nan,nan
Newspoll2,757,nan,nan
Roy Morgan,748,nan,nan
Essential,750,nan,nan
Essential,743,nan,nan
Essential,736,nan,nan
Roy Morgan,737,nan,nan
Newspoll2,736,nan,nan
Galaxy,733,nan,nan
ReachTEL,732,nan,nan
Roy Morgan,730,nan,nan
Roy Morgan,723,nan,nan
Newspoll2,722,nan,nan
Essential,714,nan,nan
ReachTEL,713,nan,nan
