Firm,Day,ALP FP,ALP FP adj
Advertiser,1,30.0,30.358
Advertiser,122,31.0,31.358
Newspoll,141,29.0,29.283
Advertiser,188,24.0,24.358
Newspoll,215,30.0,30.283
Advertiser,255,25.0,25.358
Advertiser,307,32.0,32.358
Advertiser,400,38.0,38.358
Newspoll,415,34.0,34.283
Newspoll,491,34.0,34.283
Newspoll,673,28.0,28.283
Advertiser,686,33.0,33.358
Newspoll,765,37.0,37.283
Advertiser,882,30.0,30.358
Newspoll,885,33.0,33.283
Newspoll,946,32.0,32.283
Galaxy,1127,36.0,35.689
Newspoll,1130,33.0,33.267
Galaxy,1219,35.0,34.689
Newspoll,1231,34.0,34.267
Newspoll,1247,34.0,34.267
