Firm,Day,LNP FP,LNP FP adj
SMS Morgan,1,44.0,43.405
SMS Morgan,28,44.0,43.405
Galaxy,54,42.0,41.472
SMS Morgan,57,40.5,39.905
Galaxy,96,39.0,38.472
ReachTEL,97,45.6,44.438
SMS Morgan,98,44.0,43.405
SMS Morgan,126,42.0,41.405
SMS Morgan,168,41.0,40.405
Galaxy,187,39.0,38.472
SMS Morgan,197,41.5,40.905
Newspoll2,198,38.0,38.781
SMS Morgan,240,42.0,41.405
Essential,243,42.0,42.289
Newspoll2,274,39.0,39.781
Essential,274,41.0,41.289
Galaxy,277,42.0,41.472
SMS Morgan,294,40.5,39.905
Essential,304,45.0,45.289
Essential,335,39.0,39.289
SMS Morgan,351,45.5,44.905
Galaxy,362,43.0,42.472
Essential,366,40.0,40.289
Galaxy,390,43.0,42.472
Essential,396,40.0,40.289
SMS Morgan,410,40.0,39.405
Galaxy,426,41.0,40.472
Essential,426,37.0,37.289
ReachTEL,437,42.8,41.638
Galaxy,454,44.0,43.472
Newspoll2,456,40.0,40.781
Essential,456,40.0,40.289
SMS Morgan,466,40.5,39.905
Essential,487,41.0,41.289
Essential,517,41.0,41.289
Galaxy,537,38.0,37.472
Essential,548,35.0,35.289
SMS Morgan,553,38.5,37.905
Essential,579,37.0,37.289
SMS Morgan,595,33.5,32.905
Essential,609,35.0,35.289
Galaxy,636,37.0,36.472
Essential,640,32.0,32.289
Essential,670,35.0,35.289
Galaxy,726,33.0,32.472
ReachTEL,726,33.2,32.038
Essential,732,31.0,31.289
Galaxy,803,34.0,33.518
Essential,821,34.0,34.127
ReachTEL,839,35.3,35.005
Essential,882,34.0,33.925
Galaxy,902,36.0,35.655
Newspoll2,913,34.0,34.206
Essential,913,33.0,32.884
Essential,944,35.0,34.884
ReachTEL,957,33.2,33.615
Newspoll2,970,34.0,34.206
Essential,974,38.0,37.884
Galaxy,992,32.0,31.655
Essential,1001,32.0,31.884
ReachTEL,1008,30.0,30.415
Newspoll2,1013,34.0,34.206
Galaxy,1014,35.0,34.655
