Firm,Day,OTH FP,OTH FP adj
TNS,1,14.634,14.456
Galaxy,48,11.0,11.947
F2F Morgan,63,9.5,10.158
Newspoll,228,12.0,10.778
Galaxy,251,6.0,6.947
Newspoll,320,12.0,10.778
Newspoll,332,10.0,8.778
Galaxy,356,8.0,8.947
Newspoll,412,9.0,7.778
Galaxy,468,7.0,7.947
Newspoll,504,10.0,8.778
Galaxy,516,7.0,7.947
Newspoll,594,9.0,7.778
Galaxy,629,6.0,6.947
Galaxy,672,6.809,7.738
Newspoll,686,11.0,9.925
Galaxy,730,6.124,6.951
Newspoll,778,10.0,9.49
Newspoll,856,10.0,9.514
Galaxy,880,7.0,7.735
Galaxy,882,7.0,7.735
Newspoll,887,8.0,7.514
Galaxy,895,8.0,8.735
Newspoll,902,8.8,8.314
