Firm,Day,OTH FP,OTH FP adj
Galaxy,1,7.51,8.707
Galaxy,43,10.0,11.197
Galaxy,86,12.519,13.716
Galaxy,166,13.232,14.429
Galaxy,239,8.0,9.197
Morgan Phone,273,9.5,9.389
Galaxy,352,8.0,9.197
Newspoll,423,13.0,10.8
Essential,470,12.0,11.892
Newspoll,515,16.0,13.8
Galaxy,525,8.0,9.197
Newspoll,607,15.0,12.8
Galaxy,610,7.0,8.197
Galaxy,645,7.0,8.197
Morgan Phone,661,13.0,12.889
Newspoll,697,11.0,8.8
Galaxy,701,10.58,11.778
Newspoll,788,15.0,12.886
Galaxy,798,11.495,12.577
Newspoll,880,15.0,13.282
Galaxy,883,12.0,12.749
Galaxy,951,9.0,9.734
Newspoll,972,14.0,12.316
Galaxy,972,10.0,10.734
Galaxy,1001,14.0,14.734
Morgan Phone,1007,13.5,13.695
Newspoll,1007,16.0,14.316
