Firm,Day,DEM FP,DEM FP adj
F2F Morgan,1,6.0,5.897
F2F Morgan,36,7.0,6.897
F2F Morgan,50,6.0,5.897
F2F Morgan,61,8.0,7.897
F2F Morgan,68,7.0,6.897
F2F Morgan,78,7.0,6.897
F2F Morgan,92,6.0,5.897
F2F Morgan,106,6.0,5.897
F2F Morgan,120,5.0,4.897
F2F Morgan,134,7.0,6.897
F2F Morgan,148,7.0,6.897
F2F Morgan,162,7.0,6.897
F2F Morgan,176,7.0,6.897
F2F Morgan,190,8.0,7.897
F2F Morgan,204,7.0,6.897
F2F Morgan,218,7.0,6.897
F2F Morgan,232,8.0,7.897
F2F Morgan,246,6.0,5.897
F2F Morgan,260,6.0,5.897
F2F Morgan,272,5.0,4.897
F2F Morgan,281,5.0,4.897
F2F Morgan,295,7.0,6.897
F2F Morgan,309,6.0,5.897
F2F Morgan,323,7.0,6.897
F2F Morgan,337,6.0,5.897
Newspoll,340,7.0,6.752
F2F Morgan,351,7.0,6.897
Newspoll,354,8.0,7.752
F2F Morgan,365,7.0,6.897
Newspoll,368,7.0,6.752
F2F Morgan,400,5.0,4.897
Newspoll,410,5.0,4.752
F2F Morgan,414,6.0,5.897
F2F Morgan,428,5.0,4.897
Newspoll,438,6.0,5.752
F2F Morgan,442,6.0,5.897
F2F Morgan,456,6.0,5.897
Newspoll,466,8.0,7.752
F2F Morgan,470,6.0,5.897
F2F Morgan,484,7.0,6.897
Newspoll,494,6.0,5.752
F2F Morgan,498,6.0,5.897
F2F Morgan,512,8.0,7.897
Newspoll,522,8.0,7.752
F2F Morgan,526,6.0,5.897
F2F Morgan,540,7.0,6.897
F2F Morgan,554,7.0,6.897
Newspoll,557,7.0,6.752
F2F Morgan,568,7.0,6.897
F2F Morgan,582,7.0,6.897
Newspoll,585,8.0,7.752
F2F Morgan,596,8.0,7.897
F2F Morgan,610,8.0,7.897
Newspoll,620,9.0,8.752
F2F Morgan,621,9.0,8.897
F2F Morgan,631,9.0,8.897
F2F Morgan,645,8.0,7.897
Newspoll,648,9.0,8.752
F2F Morgan,659,8.0,7.897
F2F Morgan,673,8.0,7.897
Newspoll,676,9.0,8.752
F2F Morgan,687,8.0,7.897
F2F Morgan,701,9.0,8.886
Newspoll,704,7.0,6.774
F2F Morgan,715,8.0,7.806
F2F Morgan,729,6.0,5.727
Newspoll,732,5.0,4.934
F2F Morgan,764,7.0,6.533
F2F Morgan,778,7.0,6.453
Newspoll,784,6.0,6.23
F2F Morgan,789,8.0,7.385
F2F Morgan,796,8.0,7.351
Newspoll,802,6.0,6.332
F2F Morgan,803,5.0,4.305
F2F Morgan,810,6.0,5.271
F2F Morgan,820,6.0,5.214
Newspoll,823,4.0,4.435
F2F Morgan,831,7.0,6.214
Newspoll,837,4.0,4.435
F2F Morgan,841,6.0,5.214
Newspoll,848,6.0,6.435
F2F Morgan,855,6.0,5.214
F2F Morgan,868,6.0,5.214
Newspoll,872,4.0,4.435
F2F Morgan,883,5.0,4.214
Newspoll,886,5.0,5.435
F2F Morgan,894,6.0,5.214
F2F Morgan,901,6.0,5.214
Newspoll,907,4.0,4.435
F2F Morgan,908,5.0,4.214
Newspoll,914,4.0,4.435
F2F Morgan,915,6.0,5.214
Newspoll,921,3.0,3.435
F2F Morgan,922,7.0,6.214
Newspoll,928,4.0,4.435
F2F Morgan,929,7.0,6.214
Newspoll,935,6.0,6.435
F2F Morgan,936,7.0,6.214
Newspoll,938,6.0,6.435
Newspoll,940,6.5,6.935
