Firm,Day,ONP FP,ONP FP adj
Morgan Phone,941,2.5,3.526
Morgan Phone,997,6.0,7.026
Nielsen,1041,9.0,8.893
F2F Morgan,1080,8.5,9.34
F2F Morgan,1111,8.0,8.931
Nielsen,1097,10.0,9.897
F2F Morgan,1143,5.0,6.115
Newspoll,1158,4.0,4.823
F2F Morgan,1171,3.5,4.775
F2F Morgan,1203,3.0,4.459
Newspoll,1206,4.0,4.824
F2F Morgan,1231,3.5,5.027
Newspoll,1232,5.0,5.824
F2F Morgan,1269,4.0,5.527
Newspoll,1281,3.0,3.824
F2F Morgan,1290,2.5,4.027
F2F Morgan,1304,3.0,4.527
Newspoll,1321,3.5,4.324
Nielsen,1324,5.0,5.121
Morgan Phone,1329,4.0,4.643
Nielsen,1331,6.0,6.121
Morgan Phone,1333,5.5,6.143
Newspoll,1333,5.5,6.324
Morgan Phone,1335,5.5,6.143
