House,Party,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%
New house effects
Newspoll,ALP FP,-1.5935138105388036,-0.6257723028075326,-0.37380345882818833,-0.24110881548548452,-0.13768878577251578,-0.05452402277549117,0.014208905757988933,0.10424935870630636,0.2040299426363012,0.3661363479441454,1.3504948140045938
Advertiser,ALP FP,-2.251335969729887,-0.5894243880429202,-0.32856069716466696,-0.13961092855513874,-0.020702545255953067,0.10098579777258974,0.2119086285833584,0.37108653714608375,0.582922150630462,0.9177040824566298,2.805423790462901
Galaxy,ALP FP,-3.3979362416708767,-1.1409170709452463,-0.6464623648862327,-0.341811334707597,-0.14238919072423886,0.011790056501166846,0.18817552152140823,0.4068813440395713,0.6647673840963744,1.141651536095685,3.931029912762531
F2F Morgan,ALP FP,-3.27015593388378,-0.9479323989092905,-0.5394259012226164,-0.29511060257988286,-0.11697718492033027,0.04973045726873537,0.25034804774148034,0.4876851615480837,0.8608505388111625,1.3584088810319792,4.2207308633625695
Old house effects
Newspoll,ALP FP,-1.559566756363074,-0.6242196610637605,-0.3873186322794805,-0.26334702789389935,-0.16565594936732098,-0.07765517343247647,0.0065647828348598634,0.09916110074758724,0.20810926797697255,0.3907255480666812,1.4872719707394897
Advertiser,ALP FP,-2.1462100963443898,-0.6134063491830326,-0.32186644059102654,-0.16550260691732543,-0.029954908986780285,0.10348217846620095,0.24702472334578213,0.40313062287220136,0.6264492956482124,1.0092906824262387,2.4501395737776575
Galaxy,ALP FP,-4.4079187765064995,-1.1548509061742802,-0.6162642811413905,-0.33761799075820276,-0.14033249661364072,0.03125365564428893,0.21110902572880438,0.39441959912993185,0.7139197309763038,1.1996938815122506,3.8883013361465886
F2F Morgan,ALP FP,-2.23595862214633,-0.6728041002152465,-0.30432992979023177,-0.030599744569261483,0.16497530865682405,0.3430066236627253,0.5788810560047615,0.8557493042585604,1.2660833355355907,1.8986391646965584,4.963492930546129
