Firm,Day,GRN FP,GRN FP adj
F2F Morgan,1,8.0,8.137
Westpoll,3,7.368,7.949
Westpoll,33,7.527,8.108
F2F Morgan,62,7.0,7.137
Westpoll,62,7.368,7.949
Westpoll,96,5.435,6.016
F2F Morgan,123,7.0,7.137
Westpoll,124,7.447,8.028
Westpoll,160,6.25,6.831
F2F Morgan,184,10.0,10.137
Westpoll,188,7.527,8.108
Newspoll,229,5.0,5.878
F2F Morgan,245,9.0,9.137
F2F Morgan,307,6.0,6.137
Newspoll,321,8.0,8.878
F2F Morgan,366,5.5,5.637
Westpoll,372,5.0,5.581
Westpoll,397,6.0,6.581
Newspoll,410,4.0,4.878
F2F Morgan,427,6.0,6.137
Westpoll,433,6.0,6.581
Westpoll,471,5.0,5.581
F2F Morgan,488,7.5,7.637
Newspoll,502,6.0,6.878
Westpoll,494,7.0,7.581
Westpoll,533,5.0,5.581
F2F Morgan,549,8.5,8.637
Westpoll,552,6.0,6.581
Westpoll,586,12.0,12.581
Newspoll,594,7.0,7.878
Westpoll,588,7.0,7.581
F2F Morgan,610,6.5,6.637
Westpoll,615,7.0,7.581
Westpoll,657,11.0,11.581
Newspoll,686,10.0,10.878
Westpoll,686,8.0,8.581
Westpoll,714,5.0,5.581
Westpoll,734,6.0,6.581
Newspoll,775,8.0,8.878
Westpoll,798,7.0,7.581
Westpoll,824,11.0,11.581
Newspoll,867,6.0,6.878
Westpoll,859,9.0,9.581
Westpoll,887,8.0,8.581
Newspoll,959,8.0,8.878
Newspoll,1051,12.0,12.209
Newspoll,1142,16.0,14.872
Westpoll,1211,7.0,7.601
Westpoll,1229,9.25,9.851
Newspoll,1230,10.0,8.872
Galaxy,1246,9.0,9.564
Westpoll,1246,10.0,10.601
Newspoll,1252,12.0,10.872
Westpoll,1251,11.0,11.601
