Firm,Day,LNP FP,LNP FP adj
ResolvePM,373,44.0,45.192
ResolvePM,434,43.0,44.192
ResolvePM,498,41.0,42.192
ResolvePM,557,41.0,42.192
ResolvePM,649,37.0,38.192
ResolvePM,861,30.0,31.231
Essential,867,41.839,40.283
Morgan multi-mode,875,34.0,34.698
Newspoll2,881,35.0,35.298
Freshwater,905,36.0,35.719
Morgan multi-mode,905,32.0,32.638
ResolvePM,922,35.0,36.288
Morgan multi-mode,936,37.0,37.579
Morgan multi-mode,966,33.5,34.068
YouGov,998,33.0,33.276
Morgan multi-mode,998,35.0,35.568
ResolvePM,1004,34.0,35.307
Newspoll2,1035,37.0,37.276
Freshwater,1037,37.0,36.598
ResolvePM,1038,32.0,33.307
SMS Morgan,1039,32.5,33.149
SMS Morgan,1053,34.0,34.649
ResolvePM2,1058,38.0,37.704
Freshwater,1061,37.0,36.598
Newspoll2,1062,35.0,35.276
