Firm,Day,ALP FP,ALP FP adj
Morgan Phone,1,32.0,32.15
Morgan Phone,133,31.0,31.15
Newspoll,244,28.0,27.98
Newspoll,305,30.0,29.98
Newspoll,366,34.0,33.98
Newspoll,428,33.0,32.98
Morgan Phone,480,35.5,35.65
Newspoll,488,32.0,31.98
Morgan Phone,557,33.5,33.65
Newspoll,610,35.0,34.98
Morgan Phone,620,34.0,34.15
Newspoll,671,41.0,40.98
JWS Research,722,38.0,38.081
Essential,725,39.0,37.73
Newspoll,732,38.0,37.98
ReachTEL,787,36.8,37.618
Newspoll,794,38.0,37.98
ReachTEL,815,34.9,35.718
ReachTEL,827,36.9,37.718
Nielsen,829,37.0,37.008
Essential,836,36.0,34.73
Newspoll,853,37.0,36.98
ReachTEL,864,35.3,36.118
Essential,898,40.0,38.73
ReachTEL,914,32.5,33.318
Newspoll,914,35.0,34.98
Newspoll,975,38.0,37.98
Newspoll,1036,38.0,37.98
Essential,1082,38.0,36.73
ReachTEL,1088,35.8,36.618
Nielsen,1089,38.0,38.008
Essential,1111,40.0,38.73
Essential,1142,40.0,38.73
Essential,1173,42.0,40.73
Nielsen,1185,37.0,37.008
Galaxy,1185,39.0,38.858
Newspoll,1185,39.0,38.98
Essential,1201,39.0,37.73
Essential,1232,39.0,37.769
Essential,1262,40.0,38.854
Newspoll,1279,38.0,37.886
Essential,1293,40.0,38.945
Nielsen,1299,42.0,42.174
Essential,1324,41.0,40.03
Nielsen,1327,35.0,35.23
Newspoll,1340,37.0,36.798
Galaxy,1354,38.0,37.755
Essential,1355,39.0,38.07
Essential,1385,39.0,38.07
SMS Morgan,1398,34.0,36.254
Essential,1412,38.0,37.07
Essential,1415,38.0,37.07
Galaxy,1423,38.0,37.755
ReachTEL,1424,37.5,37.823
SMS Morgan,1426,34.0,36.254
Ipsos,1427,37.0,37.484
Newspoll,1429,41.0,40.798
Ipsos,1439,39.0,39.484
SMS Morgan,1442,36.0,38.254
Essential,1444,39.0,38.07
SMS Morgan,1445,35.5,37.754
Galaxy,1450,39.0,38.755
SMS Morgan,1454,33.5,35.754
Galaxy,1456,39.0,38.755
Newspoll,1457,39.0,38.798
Ipsos,1457,35.0,35.484
SMS Morgan,1458,36.0,38.254
ReachTEL,1458,38.3,38.623
