Firm,Day,OTH FP,OTH FP adj
F2F Morgan,1,18.0,19.636
Westpoll,40,18.889,22.684
F2F Morgan,62,16.5,18.136
Westpoll,94,17.778,21.573
F2F Morgan,123,15.5,17.136
Westpoll,132,14.444,18.239
Newspoll,137,14.0,11.86
F2F Morgan,184,15.0,16.636
Newspoll,229,12.0,9.86
F2F Morgan,245,13.5,15.136
F2F Morgan,307,13.0,14.636
Newspoll,321,19.0,16.86
Westpoll,335,8.0,11.795
F2F Morgan,366,11.0,12.636
Westpoll,407,8.0,11.795
Newspoll,410,14.0,11.86
F2F Morgan,427,9.0,10.636
F2F Morgan,488,12.5,14.136
Westpoll,499,5.0,8.795
Newspoll,502,15.0,12.86
F2F Morgan,549,7.0,8.636
Westpoll,591,4.0,7.795
Newspoll,594,13.0,10.86
F2F Morgan,610,6.0,7.636
Westpoll,643,6.0,9.795
F2F Morgan,672,7.0,8.636
Westpoll,674,6.0,9.795
Newspoll,686,12.0,9.86
Westpoll,713,3.0,6.795
F2F Morgan,731,6.5,8.136
Newspoll,775,11.0,8.86
F2F Morgan,792,6.5,8.136
Westpoll,824,5.0,8.795
F2F Morgan,853,6.5,8.136
Westpoll,855,8.0,11.795
Newspoll,867,16.0,13.86
Westpoll,892,8.0,11.795
F2F Morgan,914,8.0,9.636
Westpoll,927,9.0,12.795
Newspoll,959,16.0,13.86
F2F Morgan,975,12.0,13.636
Westpoll,1020,7.0,10.795
F2F Morgan,1037,10.0,11.636
Westpoll,1046,5.0,8.795
Newspoll,1051,14.0,11.86
Westpoll,1068,5.0,8.795
F2F Morgan,1097,9.0,10.636
Westpoll,1099,4.0,7.795
Westpoll,1129,4.0,7.795
Newspoll,1141,13.0,10.86
Westpoll,1160,5.0,8.795
Westpoll,1190,7.0,10.746
Westpoll,1221,3.614,6.969
Westpoll,1313,3.409,5.736
Newspoll,1325,9.0,9.077
Westpoll,1343,4.598,6.924
Westpoll,1381,4.396,6.722
Newspoll,1400,4.0,4.077
Westpoll,1403,4.396,6.722
