Firm,Day,LNP FP,LNP FP adj
SMS Morgan,1,44.5,44.199
Morgan Phone,4,40.0,40.158
F2F Morgan,10,39.5,42.067
Essential,14,44.0,43.619
SMS Morgan,18,45.0,44.699
Newspoll,20,41.0,42.529
Morgan Phone,25,42.5,42.658
F2F Morgan,28,41.0,43.567
Essential,28,43.0,42.619
F2F Morgan,42,38.5,41.067
Essential,42,44.0,43.619
Newspoll,48,42.0,43.529
F2F Morgan,52,40.5,43.067
Essential,56,44.0,43.619
Nielsen,61,43.0,43.358
Newspoll,62,43.0,44.529
F2F Morgan,66,40.0,42.567
Essential,70,46.0,45.619
F2F Morgan,97,40.5,43.067
Newspoll,76,43.0,44.529
F2F Morgan,80,40.0,42.567
Essential,84,45.0,44.619
Nielsen,89,43.0,43.358
Newspoll,90,39.0,40.529
F2F Morgan,94,42.0,44.567
Essential,98,45.0,44.619
Newspoll,104,41.0,42.529
F2F Morgan,105,40.5,43.067
Morgan Phone,110,46.0,46.158
F2F Morgan,112,43.0,45.567
Essential,112,46.0,45.619
F2F Morgan,140,44.0,46.567
Essential,149,37.0,36.619
F2F Morgan,150,41.5,44.067
Essential,163,46.0,45.619
Morgan Phone,164,42.5,42.658
F2F Morgan,166,43.0,45.567
Newspoll,167,44.0,45.529
Nielsen,173,46.0,46.358
Essential,177,43.0,42.619
F2F Morgan,178,43.0,45.567
Newspoll,181,41.0,42.529
Morgan Phone,184,45.5,45.658
F2F Morgan,189,41.0,43.567
Essential,191,47.0,46.619
Newspoll,195,45.0,46.529
F2F Morgan,196,46.5,49.067
Morgan Phone,199,47.5,47.658
Nielsen,201,45.0,45.358
F2F Morgan,203,44.5,47.067
Essential,205,46.0,45.619
Morgan Phone,207,42.5,42.658
Newspoll,209,40.0,41.529
F2F Morgan,210,40.0,42.567
Morgan Phone,213,47.0,47.158
F2F Morgan,217,47.0,49.567
Essential,219,46.0,45.619
Newspoll,223,45.0,46.529
F2F Morgan,224,48.0,50.567
Essential,233,47.0,46.619
Nielsen,236,47.0,47.358
F2F Morgan,234,46.0,48.567
Essential,247,47.0,46.619
F2F Morgan,248,46.0,48.567
Newspoll,251,44.0,45.529
Morgan Phone,255,46.0,46.158
F2F Morgan,259,48.0,50.567
Essential,261,46.0,45.619
Nielsen,264,47.0,47.358
Newspoll,265,46.0,47.529
F2F Morgan,266,44.5,47.067
Essential,275,47.0,46.619
F2F Morgan,276,45.5,48.067
Newspoll,279,44.0,45.529
Morgan Phone,283,50.0,50.158
F2F Morgan,287,46.5,49.067
Essential,290,46.0,45.619
Newspoll,293,46.0,47.529
Nielsen,297,49.0,49.358
F2F Morgan,297,46.5,49.067
Essential,303,48.0,47.619
Newspoll,307,46.0,47.529
F2F Morgan,301,49.0,51.567
Essential,317,50.0,49.619
Newspoll,321,49.0,50.529
F2F Morgan,322,48.0,50.567
Morgan Phone,326,52.5,52.658
Nielsen,327,51.0,51.358
Essential,331,48.0,47.619
F2F Morgan,332,47.0,49.567
Newspoll,335,47.0,48.529
Essential,345,50.0,49.619
Galaxy,346,48.0,47.232
F2F Morgan,346,47.5,50.067
Newspoll,349,47.0,48.529
Morgan Phone,353,49.0,49.158
Nielsen,355,48.0,48.358
Essential,359,50.0,49.619
F2F Morgan,360,49.5,52.067
Newspoll,363,47.0,48.529
Essential,373,49.0,48.619
F2F Morgan,374,46.5,49.067
Newspoll,377,50.0,51.529
Nielsen,383,48.0,48.358
Essential,387,49.0,48.619
F2F Morgan,388,46.5,49.067
Newspoll,391,48.0,49.529
Essential,401,48.0,47.619
F2F Morgan,402,46.5,49.067
Newspoll,412,49.0,50.529
F2F Morgan,413,43.5,46.067
Essential,415,48.0,47.619
Nielsen,418,48.0,48.358
Galaxy,419,51.0,50.232
F2F Morgan,420,44.0,46.567
Newspoll,426,45.0,46.529
F2F Morgan,427,49.5,52.067
Essential,429,47.0,46.619
Morgan Phone,430,47.0,47.158
F2F Morgan,434,46.5,49.067
Morgan Phone,438,45.0,45.158
Newspoll,440,44.0,45.529
Essential,443,47.0,46.619
Nielsen,446,45.0,45.358
F2F Morgan,444,47.0,49.567
Newspoll,454,48.0,49.529
F2F Morgan,455,45.5,48.067
Essential,457,47.0,46.619
F2F Morgan,465,43.0,45.567
Newspoll,468,44.0,45.529
Nielsen,474,49.0,49.358
Essential,476,47.0,46.619
F2F Morgan,479,43.0,45.567
F2F Morgan,504,45.0,47.567
Essential,512,48.0,47.619
Morgan Phone,514,46.5,46.658
F2F Morgan,514,42.5,45.067
Galaxy,524,48.0,47.232
Newspoll,524,45.0,46.529
F2F Morgan,525,41.5,44.067
Essential,526,47.0,46.619
Nielsen,530,45.0,45.358
F2F Morgan,532,45.5,48.067
Morgan Phone,535,41.5,41.658
Newspoll,538,46.0,47.529
Essential,540,48.0,47.619
F2F Morgan,542,41.5,44.067
Nielsen,550,44.0,44.358
Galaxy,551,47.0,46.232
Newspoll,552,45.0,46.529
F2F Morgan,553,42.5,45.067
Essential,554,49.0,48.619
F2F Morgan,560,43.5,46.067
Newspoll,566,43.0,44.529
Essential,569,48.0,47.619
F2F Morgan,570,45.5,48.067
Newspoll,580,47.0,48.529
F2F Morgan,581,45.0,47.567
Essential,583,48.0,47.619
Nielsen,586,47.0,47.358
F2F Morgan,588,45.5,48.067
Essential,597,31.0,30.619
F2F Morgan,598,46.5,49.067
Newspoll,601,48.0,49.529
Morgan Phone,605,47.5,47.658
F2F Morgan,609,47.5,50.067
Essential,611,50.0,49.619
Galaxy,615,49.0,48.232
Newspoll,615,51.0,52.529
F2F Morgan,623,45.5,48.067
Essential,625,50.0,49.619
Morgan Phone,627,50.5,50.658
Nielsen,627,49.0,49.358
Newspoll,629,45.0,46.529
F2F Morgan,630,46.0,48.567
F2F Morgan,637,45.5,48.067
Essential,639,50.0,49.619
Newspoll,643,46.0,47.529
F2F Morgan,644,49.0,51.567
Nielsen,649,48.0,48.358
F2F Morgan,651,45.0,47.567
Essential,653,49.0,48.619
Newspoll,657,44.0,45.529
F2F Morgan,658,42.5,45.067
Galaxy,664,49.0,48.232
Essential,667,49.0,48.619
F2F Morgan,668,43.0,45.567
Newspoll,671,46.0,47.529
Nielsen,677,48.0,48.358
Essential,681,49.0,48.619
F2F Morgan,682,43.0,45.567
Newspoll,685,48.0,49.529
Essential,695,49.0,48.619
F2F Morgan,696,43.0,45.567
Newspoll,699,46.0,47.529
Nielsen,705,47.0,47.358
Essential,709,49.0,48.619
F2F Morgan,710,43.5,46.067
Newspoll,713,45.0,46.529
Essential,723,49.0,48.619
F2F Morgan,724,44.0,46.567
Newspoll,727,45.0,46.529
Nielsen,733,45.0,45.358
Essential,737,48.0,47.619
F2F Morgan,742,41.5,44.067
Newspoll,741,46.0,47.529
Essential,751,48.0,47.619
Nielsen,754,45.0,45.358
F2F Morgan,752,40.5,43.067
Newspoll,755,41.0,42.529
Morgan Phone,759,47.0,47.158
F2F Morgan,763,41.5,44.067
Essential,765,47.0,46.619
F2F Morgan,773,43.0,45.567
Newspoll,776,45.0,46.529
Essential,779,47.0,46.619
Nielsen,789,43.0,43.358
F2F Morgan,787,38.5,41.067
Essential,793,48.0,47.619
Newspoll,797,41.0,42.529
F2F Morgan,801,43.0,45.567
Galaxy,804,47.0,46.232
Essential,807,45.0,44.619
Newspoll,811,43.0,44.529
