Firm,Day,GRN FP,GRN FP adj
Newspoll,1,13.0,11.368
Newspoll,182,17.0,15.368
Newspoll,274,15.0,13.368
SMS Morgan,317,14.0,12.355
SMS Morgan,345,15.0,13.355
Newspoll,366,15.0,13.368
SMS Morgan,373,15.5,13.855
SMS Morgan,428,13.0,11.355
Newspoll,457,14.0,12.368
SMS Morgan,457,14.5,12.855
SMS Morgan,484,14.5,12.855
SMS Morgan,513,13.5,11.855
Newspoll,547,14.0,12.368
SMS Morgan,554,14.0,12.355
SMS Morgan,582,14.0,12.355
SMS Morgan,624,17.0,15.355
SMS Morgan,653,15.0,13.355
SMS Morgan,696,13.0,11.355
Essential,730,12.0,11.767
Newspoll2,731,10.0,10.602
SMS Morgan,749,13.5,11.855
SMS Morgan,807,11.5,9.855
Essential,823,12.0,11.767
ReachTEL,853,13.0,13.124
SMS Morgan,862,14.5,12.855
SMS Morgan,879,13.5,11.855
Newspoll2,883,11.0,11.602
Essential,913,10.0,9.767
SMS Morgan,922,12.5,10.855
Essential,1004,11.0,10.498
SMS Morgan,1005,12.5,10.87
ReachTEL,1035,7.7,8.185
SMS Morgan,1066,12.5,10.895
ReachTEL,1077,7.7,8.414
Newspoll2,1082,9.0,9.089
Essential,1096,11.0,9.818
ReachTEL,1154,6.7,7.48
Newspoll2,1173,9.0,9.052
Essential,1174,10.7,9.518
Essential,1188,9.0,7.818
ReachTEL,1188,6.0,6.78
ReachTEL,1202,10.7,11.48
Galaxy,1203,8.0,8.036
Newspoll2,1209,7.0,7.052
ReachTEL,1210,6.5,7.28
