Firm,Day,OTH FP,OTH FP adj
Newspoll,1,6.5,8.98
Newspoll,63,6.0,8.48
Newspoll,122,7.0,9.48
Newspoll,183,6.0,8.48
Newspoll,244,6.0,8.48
Newspoll,305,10.0,12.48
Newspoll,366,7.0,9.48
Newspoll,428,8.0,10.48
Newspoll,487,5.0,7.48
Newspoll,578,7.0,9.48
Newspoll,670,10.0,12.48
Newspoll,701,9.0,11.48
Newspoll,793,10.0,12.48
F2F Morgan,836,20.0,18.259
Newspoll,853,10.0,11.815
F2F Morgan,867,21.0,19.519
Newspoll,914,12.0,13.151
Newspoll,975,11.0,12.151
Newspoll,1015,9.0,10.151
F2F Morgan,1022,6.0,4.892
Saulwick,1025,11.0,10.142
Newspoll,1029,4.0,5.151
Newspoll,1034,7.0,8.151
