Firm,Day,ALP FP,ALP FP adj
F2F Morgan,1,50.0,46.627
F2F Morgan,62,48.0,44.627
Advertiser,108,43.158,42.844
F2F Morgan,123,51.5,48.127
F2F Morgan,184,53.0,49.627
Newspoll,229,47.0,46.835
F2F Morgan,245,55.5,52.127
Newspoll,321,48.0,47.835
Newspoll,410,47.0,46.835
Newspoll,502,48.0,47.835
Newspoll,594,42.0,41.835
Newspoll,686,41.0,40.835
Newspoll,776,41.0,40.835
Newspoll,868,38.0,37.835
Advertiser,901,38.889,38.575
Newspoll,960,39.0,38.835
Newspoll,1052,42.0,41.835
Advertiser,1083,44.186,43.872
Newspoll,1219,46.0,45.821
Advertiser,1265,40.23,39.566
Advertiser,1293,43.182,42.35
Newspoll,1325,37.0,36.696
Advertiser,1348,43.82,42.783
Newspoll,1403,36.0,35.694
Advertiser,1405,37.895,36.858
Galaxy,1442,36.0,35.431
Newspoll,1448,35.3,34.994
