Firm,Day,OTH FP,OTH FP adj
F2F Morgan,1,7.0,7.874
F2F Morgan,33,9.0,9.874
Newspoll,47,4.953,7.029
Nielsen,50,7.0,7.279
F2F Morgan,58,7.5,8.374
F2F Morgan,96,7.0,7.874
Newspoll,109,4.168,6.243
F2F Morgan,124,7.5,8.374
Nielsen,141,7.0,7.279
F2F Morgan,152,7.5,8.374
Newspoll,169,7.71,9.785
F2F Morgan,184,10.0,10.874
F2F Morgan,215,9.0,9.874
Newspoll,230,4.619,6.695
Nielsen,232,7.0,7.279
F2F Morgan,243,8.0,8.874
F2F Morgan,275,8.0,8.874
Nielsen,288,8.0,8.279
Newspoll,291,5.701,7.777
F2F Morgan,305,8.5,9.374
F2F Morgan,336,7.0,7.874
Newspoll,352,6.055,8.131
F2F Morgan,366,10.0,10.874
F2F Morgan,397,8.5,9.374
Newspoll,413,6.075,8.15
F2F Morgan,427,9.0,9.874
F2F Morgan,458,7.5,8.374
Newspoll,475,6.307,8.383
F2F Morgan,489,10.5,11.374
Nielsen,498,12.0,12.279
F2F Morgan,517,11.0,11.874
Newspoll,534,6.631,8.707
F2F Morgan,548,11.5,12.374
Nielsen,554,12.0,12.279
F2F Morgan,578,10.5,11.374
Quadrant,587,14.966,14.74
Newspoll,595,10.905,12.981
F2F Morgan,609,9.5,10.374
F2F Morgan,639,12.5,13.374
Newspoll,656,10.123,12.199
F2F Morgan,670,13.0,13.874
F2F Morgan,701,10.5,11.374
Newspoll,717,7.0,9.076
F2F Morgan,731,8.5,9.374
F2F Morgan,762,8.0,8.874
Newspoll,778,8.0,10.076
F2F Morgan,792,9.5,10.374
F2F Morgan,823,7.5,8.374
Newspoll,840,11.5,13.576
F2F Morgan,854,9.0,9.874
F2F Morgan,882,8.5,9.374
Newspoll,899,12.0,14.076
F2F Morgan,913,8.0,8.945
F2F Morgan,943,10.0,11.122
Newspoll,960,14.5,15.071
F2F Morgan,974,11.5,12.799
F2F Morgan,1004,4.5,5.976
Newspoll,1021,11.5,10.462
F2F Morgan,1035,9.0,10.582
Nielsen,1057,7.0,7.396
F2F Morgan,1066,6.5,8.082
Newspoll,1082,12.5,11.462
F2F Morgan,1096,8.5,10.082
F2F Morgan,1127,4.0,5.582
Saulwick,1128,6.522,6.318
Newspoll,1125,7.5,6.462
Morgan Phone,1134,4.5,4.973
Newspoll,1140,6.0,4.962
Morgan Phone,1140,4.0,4.473
Saulwick,1141,11.364,11.16
Morgan Phone,1142,5.5,5.973
