2013 Federal Election
Seat,Adelaide
fp
Paul Graves,United Australia,2324,2.68,2.68
Leighton Thew,Christian,2135,2.46,-0.28
Deborah Smythe,Centre-left,492,0.57,0.57
tcp
Philip Ruddock,Liberal,59847,69.07,2.87
Michael Stove,Labor,26800,30.93,-2.87
Seat,Blair
fp
Shayne Neumann,Labor,32818,41.55,-0.53
Teresa Harding,Liberal,26734,33.85,-3.65
Anthony Stanton,United Australia,9805,12.41,12.41
Clare Rudkin,Greens,3359,4.25,-6.81
Dale Chorley,Katter's Australian,2491,3.15,3.15
Elwyn Denman,Christian,2257,2.86,-2.05
Shannon Deguara,Misc,1011,1.28,1.28
Anthony Mackin,Christian,504,0.64,0.64
tcp
Shayne Neumann,Labor,43642,55.26,1.02
Teresa Harding,Liberal,35337,44.74,-1.02
Seat,Blaxland
fp
Jason Clare,Labor,43568,55.73,4.75
Anthony Khouri,Liberal,25579,32.72,-0.58
John Ky,Greens,2416,3.09,-3.17
Zali Burrows,United Australia,2119,2.71,2.71
Nafez Taleb,Katter's Australian,1921,2.46,2.46
Juliat Nasr,Christian,1757,2.25,2.25
Boutros Zalloua,Democratic Labour,817,1.05,1.05
tcp
Jason Clare,Labor,48025,61.43,-0.8
Anthony Khouri,Liberal,30152,38.57,0.8
Seat,Bonner
fp
Ross Vasta,Liberal,40186,46.8,0.42
Laura Fraser Hardy,Labor,30927,36.01,-0.06
James MacAnally,United Australia,6712,7.82,7.82
Dave Nelson,Greens,5876,6.84,-4.34
Jeff Penny,Christian,1789,2.08,-0.74
Jarrod Wirth,Misc,386,0.45,0.45
tcp
Ross Vasta,Liberal,46110,53.69,0.87
Laura Fraser Hardy,Labor,39766,46.31,-0.87
Seat,Boothby
fp
Andrew Southcott,Liberal,47484,50.35,6.08
Annabel Digance,Labor,29018,30.77,-4.81
Stephen Thomas,Greens,11287,11.97,-1.46
Natasha Edmonds,Christian,3683,3.91,1.09
Sally Cox,United Australia,2835,3.01,3.01
tcp
Andrew Southcott,Liberal,53866,57.12,6.5
Annabel Digance,Labor,40441,42.88,-6.5
Seat,Bowman
fp
Andrew Laming,Liberal,42828,49.28,-6.35
Darryl Briskey,Labor,25967,29.88,-0.29
John Wayne,United Australia,11049,12.71,12.71
Penny Allman-Payne,Greens,5198,5.98,-3.99
Andrew O'Shea,Christian,1868,2.15,-0.09
tcp
Andrew Laming,Liberal,51155,58.86,-1.53
Darryl Briskey,Labor,35755,41.14,1.53
Seat,Braddon
fp
Brett Whiteley,Liberal,30904,46.86,7.51
Sid Sidebottom,Labor,24791,37.59,-11.09
Kevin Morgan,United Australia,6125,9.29,9.29
Melissa Houghton,Greens,3410,5.17,-6.79
Bernard Shaw,Christian,726,1.1,1.1
tcp
Brett Whiteley,Liberal,34668,52.56,10.04
Sid Sidebottom,Labor,31288,47.44,-10.04
Seat,Bradfield
fp
Paul Fletcher,Liberal,57506,64.84,0.39
Chris Haviland,Labor,14720,16.6,-2.62
Pippa McInnes,Greens,11429,12.89,-3.45
Blake Buchanan,United Australia,2366,2.67,2.67
John Archer,Christian,1671,1.88,1.88
Paul Harrold,Democratic Labour,992,1.12,1.12
tcp
Paul Fletcher,Liberal,62771,70.78,2.6
Chris Haviland,Labor,25913,29.22,-2.6
Seat,Brand
fp
Gary Gray,Labor,35093,40.39,-0.41
Donna Gordin,Liberal,33634,38.71,-0.67
Craig Lawrence,United Australia,6518,7.5,7.5
Dawn Jecks,Greens,6343,7.3,-7.44
Andrew Newhouse,Christian,2079,2.39,-0.42
Bob Burdett,Christians,1685,1.94,1.94
Gabrielle Iriks,Christian,646,0.74,0.74
Paul Young,Democrats,598,0.69,0.69
Mick Le-Cocq,Misc,280,0.32,0.32
tcp
Gary Gray,Labor,45940,52.88,-0.45
Donna Gordin,Liberal,40936,47.12,0.45
Seat,Brisbane
fp
Teresa Gambaro,Liberal,41681,47.99,2.1
Fiona McNamara,Labor,26163,30.12,-0.26
Rachael Jacobs,Greens,12452,14.34,-6.94
Veronica Ford,United Australia,3643,4.19,4.19
Connie Cicchini,Katter's Australian,951,1.09,1.09
Sharyn Joyner,Christian,801,0.92,-0.65
Tony Rose,Centre-left,602,0.69,0.69
John Roles,Centre-left,564,0.65,0.65
tcp
Teresa Gambaro,Liberal,47145,54.28,3.15
Fiona McNamara,Labor,39712,45.72,-3.15
Seat,Bruce
fp
Emanuele Cicchiello,Liberal,35501,42.96,5.24
Alan Griffin,Labor,34626,41.9,-6.81
Lynette Keleher,Greens,5491,6.64,-2.83
Rebecca Filliponi,Christian,2186,2.65,-1.39
Paul Tuyau,United Australia,2173,2.63,2.63
Geraldine Gonsalvez,Democratic Labour,1334,1.61,1.61
Kiry Uth,Independent,682,0.83,0.83
Robert White,Christian,652,0.79,0.79
tcp
Alan Griffin,Labor,42812,51.8,-5.91
Emanuele Cicchiello,Liberal,39833,48.2,5.91
Seat,Calare
fp
John Cobb,National,52650,57.65,5.24
Jess Jennings,Labor,23185,25.39,-3.66
Brian Cain,United Australia,4356,4.77,4.77
David Mallard,Greens,4054,4.44,-1.56
Macgregor Ross,Independent,2388,2.61,0.57
Ian Lyons,Christian,1628,1.78,-0.41
Billie Kirkland,Katter's Australian,1293,1.42,1.42
Peter Schultze,Right-wing Populist,1010,1.11,1.11
Anthony Craig,Democratic Labour,759,0.83,0.83
tcp
John Cobb,National,60248,65.97,5.23
Jess Jennings,Labor,31075,34.03,-5.23
Seat,Calwell
fp
Maria Vamvakinou,Labor,42819,49.81,-7.8
Ali Khan,Liberal,24490,28.49,2.97
Joanna Nevill,Greens,4632,5.39,-5.8
Bryce Letcher,United Australia,3728,4.34,4.34
Nevena Spirovska,Centre-left,2367,2.75,2.75
Paul Graham,Christian,2175,2.53,-2.15
Maria Bengtsson,Christians,2121,2.47,2.47
Brett Watson,Katter's Australian,1915,2.23,2.23
Omar Jabir,Democratic Labour,1310,1.52,1.52
Charles Rozario,Christian,415,0.48,0.48
tcp
Maria Vamvakinou,Labor,54906,63.86,-6.2
Ali Khan,Liberal,31066,36.14,6.2
