2002 SA Election
Seat,Adelaide
fp
Doster Mitchell,Liberal,6772,34.1,2.2
Seat,Finniss
fp
Dean Brown,Liberal,11616,55.9,0.3
Graham Hockley,Labor,4435,21.3,0.6
John Lavers,Democrats,1895,9.1,-14.5
Matt Rigney,Greens,1118,5.4,5.4
Bill Megaritis,Christian,1034,5.0,5.0
Joy Rayner,One Nation,699,3.4,3.4
tcp
Dean Brown,Liberal,13647,65.6,None
Graham Hockley,Labor,7150,34.4,None
Seat,Fisher
fp
Bob Such,Independent,6708,33.5,33.5
Susan Jeanes,Liberal,6275,31.3,-17.5
Alex Zimmermann,Labor,4422,22.1,-6.4
Jason Smith,Democrats,1323,6.6,-16.1
Kylie Borg,Christian,764,3.8,3.8
Trevor Mullins,One Nation,292,1.5,1.5
John Chudzicki,Centre-left,258,1.3,1.3
tcp
Bob Such,Independent,12439,62.1,None
Susan Jeanes,Liberal,7603,37.9,None
Seat,Flinders
fp
Liz Penfold,Liberal,13373,65.3,11.7
John Lovegrove,Labor,3318,16.2,5.4
Grantley Siviour,National,1881,9.2,-15.9
Sally Tonkin,Democrats,1242,6.1,-0.1
Charles Kirvan,One Nation,662,3.2,3.2
tcp
Liz Penfold,Liberal,16047,78.4,None
John Lovegrove,Labor,4429,21.6,None
Seat,Florey
fp
Frances Bedford,Labor,8414,43.2,5.1
Lyn Petrie,Liberal,7096,36.4,-0.8
Paul Rowse,Democrats,1341,6.9,-9.2
Rob Pillar,Christian,1294,6.6,6.6
Lisa Blake,Greens,718,3.7,3.7
Victor Horvat,One Nation,613,3.1,3.1
tcp
Frances Bedford,Labor,10462,53.7,0.9
Lyn Petrie,Liberal,9014,46.3,-0.9
Seat,Frome
fp
Rob Kerin,Liberal,11892,57.6,12.2
John Rohde,Labor,7261,35.2,-0.3
Marcus Reseigh,Democrats,863,4.2,-6.6
Roger Hawkes,One Nation,636,3.1,3.1
tcp
Rob Kerin,Liberal,12692,61.5,8.6
John Rohde,Labor,7960,38.5,-8.6
Seat,Giles
fp
Lyn Breuer,Labor,8742,49.6,1.5
Jim Pollock,Liberal,5272,29.9,0.4
Clint Garrett,Democrats,1664,9.4,-7.3
John Smith,Independent,1404,8.0,8.0
Valarie Nas,One Nation,538,3.1,3.1
tcp
