2022 VIC Election
Seat,Albert Park
fp
Gary Ong,Christian,809,1.8,1.8
Alicia Riera,Freedom,541,1.2,1.2
Wayne Tseng,Independent,464,1.0,1.0
Cameron Liston,Independent,436,1.0,1.0
tcp
Paul Hamer,Labor,25383,57.2,4.1
Nicole Werner,Liberal,18973,42.8,-4.1
Seat,Brighton
fp
James Newbury,Liberal,18791,45.6,0.8
Louise Crawford,Labor,10164,24.7,-7.4
Sarah Dekiere,Greens,5680,13.8,-1.1
Felicity Frederico,Independent,3749,9.1,9.1
Sally Gibson,Independent,941,2.3,2.3
Alicia Walker,Centre-left,851,2.1,-2.8
Nick Sciola,Christian,558,1.4,1.4
John Tiger Casley,Ind. (Protector),251,0.6,-0.2
Allan L. Timms,Independent,211,0.5,0.5
tcp
James Newbury,Liberal,22710,55.1,4.6
Louise Crawford,Labor,18486,44.9,-4.6
Seat,Broadmeadows
fp
Kathleen Matthews-Ward,Labor,15899,45.7,-10.8
Baris Duzova,Liberal,8044,23.1,8.0
Joe Aguilus,Greens,2908,8.4,0.5
Omar Hassan,Left-wing,2795,8.0,3.2
Bienne Tam,Christian,1611,4.6,4.6
Mohamad Elmustapha,Independent,1316,3.8,3.8
Candace Feild,Centre-left,1030,3.0,2.3
Ben Sutter,Centre-left,815,2.3,2.3
Arie Huybregts,Misc,362,1.0,1.0
tcp
Kathleen Matthews-Ward,Labor,22781,65.5,-9.7
Baris Duzova,Liberal,11999,34.5,9.7
Seat,Brunswick
fp
Tim Read,Greens,18959,43.6,1.2
Mike Williams,Labor,12392,28.5,-9.4
Minh Quan Nguyen,Liberal,4723,10.9,2.6
Nahui Jimenez,Left-wing,3506,8.1,8.1
Shea Evans,Centre-left,1933,4.4,-0.3
Rachel Lamarche-Beauchesne,Centre-left,699,1.6,-0.5
Anthony Helou,Independent,551,1.3,1.3
Lilian Sabry Shaker,Christian,529,1.2,1.2
Kenneth Charles Taylor,Independent,153,0.4,0.4
tcp
Tim Read,Greens,27664,63.7,11.7
Mike Williams,Labor,15781,36.3,-11.7
Seat,Bulleen
fp
Matthew Guy,Liberal,20645,48.1,-3.6
Ian Rogers,Labor,14052,32.7,-4.1
Kellie Stafford,Greens,4576,10.7,-0.3
Voula Patrikios,Freedom,1172,2.7,2.7
Jason Stokes,Christian,1014,2.4,2.4
Elnaz Jafari,Centre-left,867,2.0,1.6
Sanjeev Sabhlok,Independent,419,1.0,1.0
David Vincent,Independent,214,0.5,0.5
tcp
Matthew Guy,Liberal,24030,55.9,0.4
Ian Rogers,Labor,18929,44.1,-0.4
Seat,Bundoora
fp
Colin Brooks,Labor,19288,47.8,-7.7
Sahil Tomar,Liberal,11167,27.7,-1.8
Julie O'Brien,Greens,5311,13.2,5.1
Andrew Lu,Freedom,1637,4.1,4.1
Ethan Jones,Christian,1294,3.2,3.2
Bella Holgate,Centre-left,1231,3.0,0.5
Eric Koelmeyer,Independent,408,1.0,1.0
tcp
Colin Brooks,Labor,25364,62.7,-3.5
Sahil Tomar,Liberal,15066,37.3,3.5
Seat,Carrum
fp
Sonya Kilkenny,Labor,21586,49.9,-3.1
Bec Buchanan,Liberal,13141,30.3,-2.3
Jayde Lillico,Greens,3282,7.6,2.1
Georgia Erevnidis,Freedom,1750,4.0,4.0
Jeremy Cameron,Christian,1354,3.1,3.1
Taylor Macgregor Owen,Centre-left,1201,2.8,2.8
Damian Willis,Independent,986,2.3,2.3
tcp
Sonya Kilkenny,Labor,25871,59.8,-2.2
Bec Buchanan,Liberal,17423,40.2,2.2
Seat,Caulfield
fp
David Southwick,Liberal,18088,44.5,-1.6
Lior Harel,Labor,11301,27.8,-6.2
Rachel Iampolski,Greens,6447,15.8,1.1
Nomi Kaltmann,Independent,2643,6.5,6.5
Asher Myerson,Centre-left,908,2.2,-0.8
Michael Abelman,Liberal Democrats,739,1.8,1.8
Lynne Edwell,Christian,557,1.4,1.4
tcp
David Southwick,Liberal,21183,52.1,2.0
Lior Harel,Labor,19500,47.9,-2.0
Seat,Clarinda
fp
Meng Heang Tak,Labor,18441,45.5,-9.1
Anthony Richardson,Liberal,11593,28.6,1.0
Jessamine Moffett,Greens,3227,7.9,0.9
Caroline White,Independent,3167,7.8,7.8
Karen Hastings,Christian,1215,3.0,3.0
Hung Vo,Independent,1122,2.8,0.0
Sue Litchfield,Centre-left,1005,2.5,0.3
Steve Wolfe,Freedom,794,1.9,1.9
tcp
Meng Heang Tak,Labor,24416,60.2,-4.7
Anthony Richardson,Liberal,16148,39.8,4.7
Seat,Cranbourne
fp
Pauline Richards,Labor,18853,46.2,-2.5
Jagdeep Singh,Liberal,11230,27.5,-6.9
Kiran Vempati,Greens,2282,5.6,1.6
Bradley Harvey,Christian,2249,5.5,5.5
Chris Norton,Democratic Labour,2044,5.0,3.4
Gerardine Frances Hansen,Freedom,1790,4.4,4.4
Peter Bernard Philpott,Centre-left,1126,2.7,-1.9
Gwynne Brennan,Centre-left,1006,2.5,2.5
Ravi Ragupathy,Independent,242,0.6,0.6
tcp
Pauline Richards,Labor,24073,59.0,-0.3
Jagdeep Singh,Liberal,16749,41.0,0.3
Seat,Croydon
fp
David Hodgett,Liberal,19605,43.0,-3.4
Sorina Grasso,Labor,15564,34.1,-5.5
Brendan Powell,Greens,4940,10.8,1.9
Dan Nebauer,Christian,2051,4.5,4.5
Sophia De Wit,Democratic Labour,1978,4.3,4.3
Harley McDonald-Eckersall,Centre-left,1501,3.3,-1.2
tcp
David Hodgett,Liberal,23446,51.4,0.4
Sorina Grasso,Labor,22193,48.6,-0.4
Seat,Dandenong
fp
Gabrielle Williams,Labor,21677,54.9,-9.6
Karen Broadley,Liberal,8475,21.5,-1.2
Matthew Kirwan,Greens,3215,8.1,1.1
Audrey Harmse,Christian,2719,6.9,6.9
Anthony Levchenko,Freedom,1478,3.7,3.7
Andrew Klop,Centre-left,982,2.5,1.6
Tham Turner,Liberal Democrats,961,2.4,2.4
tcp
Gabrielle Williams,Labor,26970,68.3,-4.8
Karen Broadley,Liberal,12535,31.7,4.8
Seat,Eildon
fp
Cindy McLeish,Liberal,20119,47.4,0.7
Jane Judd,Labor,12284,29.0,-7.9
Wil Mikelsons,Greens,4753,11.2,0.4
Tim Lacey,Christian,1437,3.4,3.4
Joshua Rusic,Freedom,1426,3.4,3.4
Chloe Bond,Centre-left,1340,3.2,3.2
Kammy Cordner Hunt,Misc,581,1.4,1.4
Robert Thornton,Ind. (Aligned Australia),459,1.1,1.1
tcp
Cindy McLeish,Liberal,24162,57.0,5.9
Jane Judd,Labor,18237,43.0,-5.9
Seat,Eltham
fp
Vicki Ward,Labor,19509,44.5,-5.3
Jason McClintock,Liberal,15615,35.6,-1.2
Alex Grimes,Greens,5897,13.5,3.0
Hugh Stubley,Christian,1118,2.5,2.5
Catriona Marshall,Centre-left,995,2.3,2.3
Leila Karimi,Democratic Labour,710,1.6,-0.2
tcp
Vicki Ward,Labor,25870,59.0,-1.5
Jason McClintock,Liberal,17974,41.0,1.5
Seat,Essendon
fp
Danny Pearson,Labor,17196,41.1,-5.1
Angelo Baronessa,Liberal,12331,29.5,1.9
Jared Prentis,Greens,6344,15.1,-1.7
Daniel Nair Dadich,Left-wing,1951,4.7,4.7
Gayle Williams,Centre-left,1173,2.8,2.8
Nicholas Hope,Centre-left,1018,2.4,2.4
David Wright,Freedom,1006,2.4,2.4
Margaret Muir,Christian,848,2.0,2.0
tcp
Danny Pearson,Labor,26146,62.5,-3.4
Angelo Baronessa,Liberal,15721,37.5,3.4
Seat,Eureka
fp
Michaela Settle,Labor,18531,41.0,-3.6
Paul Tatchell,Liberal,14320,31.6,0.7
Sam McColl,Greens,4887,10.8,1.7
Tabitha Rickard,Democratic Labour,1821,4.0,3.4
Wendy Morrison,Centre-left,1519,3.4,-0.5
Adrian Garcia,Christian,1233,2.7,2.7
Nicola Reid,Independent,1083,2.4,2.4
Anthony Joseph Giampaolo,Freedom,967,2.1,2.1
Michael Ray,Independent,666,1.5,1.5
Mark William Banwell,Independent,220,0.5,0.5
tcp
Michaela Settle,Labor,25869,57.2,-2.4
Paul Tatchell,Liberal,19378,42.8,2.4
Seat,Euroa
fp
Annabelle Cleeland,National,13496,32.0,-27.4
Angela Tough,Labor,12840,30.4,2.3
Brad Hearn,Liberal,9227,21.8,21.8
James Bennett,Greens,2245,5.3,0.1
Raymond Mark Rowbotham,Freedom,1770,4.2,4.2
Paul Bachelor,Christian,1494,3.5,3.5
Elaine Haddock,Centre-left,1170,2.8,2.8
tcp
Annabelle Cleeland,National,25316,59.9,-5.4
Angela Tough,Labor,16926,40.1,5.4
Seat,Evelyn
fp
Bridget Vallence,Liberal,20385,46.7,-1.8
Lorna Dent,Labor,14277,32.7,-8.0
Andrew Henley,Greens,4052,9.3,-0.4
Jeanette Dobson,Christian,2318,5.3,5.3
Jan Heald,Centre-left,1819,4.2,4.2
Nat De Francesco,Independent,448,1.0,1.0
Rosalie De Francesco,Independent,366,0.8,0.8
tcp
Bridget Vallence,Liberal,24114,55.2,3.4
Lorna Dent,Labor,19559,44.8,-3.4
Seat,Footscray
fp
Katie Hall,Labor,17387,43.1,-11.7
Elena Pereyra,Greens,9045,22.42,2.22
Emete Joesika,Liberal,7214,17.88,0.78
Jorge Jorquera,Left-wing,3769,9.34,9.34
Alan Williams,Democratic Labour,1098,2.72,2.72
Shohre Mansouri Jajaee,Centre-left,989,2.45,-3.55
Russell Muir,Christian,838,2.08,2.08
tcp
Katie Hall,Labor,21880,54.24,None
Elena Pereyra,Greens,18460,45.76,None
Seat,Frankston
fp
Paul Edbrooke,Labor,16595,41.6,-4.8
Michael O'Reilly,Liberal,11762,29.4,-2.9
Emily Green,Greens,5060,12.7,5.0
Dragan Suric,Freedom,1443,3.6,3.6
Chrysten Abraham,Liberal Democrats,1420,3.6,3.6
Elizabeth Johnston,Centre-left,1365,3.4,0.6
Richard Brown,Christian,1083,2.7,2.7
Darren Paul Bergwerf,Independent,844,2.1,2.1
Henry Kelsall,Independent,369,0.9,-1.0
tcp
Paul Edbrooke,Labor,23429,58.7,-1.5
Michael O'Reilly,Liberal,16512,41.3,1.5
Seat,Geelong
fp
Christine Couzens,Labor,20754,46.4,4.5
James Bennett-Hullin,Liberal,12194,27.2,5.3
Aleisha Smith,Greens,6849,15.3,6.3
Madeleine Parker-Hill,Christian,2051,4.6,4.6
Bob Motta,Centre-left,1465,3.3,0.2
Angela Carr,Misc,994,2.2,2.2
Stephen Juhasz,Independent,455,1.0,1.0
tcp
Christine Couzens,Labor,28965,64.7,4.4
James Bennett-Hullin,Liberal,15797,35.3,-4.4
Seat,Gippsland East
fp
Tim Bull,National,26737,63.3,6.6
Stephen Richardson,Labor,7191,17.0,-4.7
Nissa Ling,Greens,2691,6.4,0.2
Ricky Muir,SFF,2460,5.8,5.8
Ed Barnes,Freedom,1340,3.2,3.2
Carl John Fechner,Christian,1068,2.5,2.5
Sally Court,Centre-left,725,1.7,1.7
tcp
Tim Bull,National,31475,74.6,7.0
Stephen Richardson,Labor,10734,25.4,-7.0
Seat,Gippsland South
fp
Danny O'Brien,National,22566,53.3,-5.3
Denise Ryan,Labor,9920,23.4,-4.8
Jay Tiziani-Simpson,Greens,3538,8.3,-0.9
Clay Esler,Independent,2414,5.7,5.7
Angela Newnham,Freedom,1357,3.2,3.2
Helen Jeges,Centre-left,1350,3.2,3.2
Paul Furlong,Christian,1218,2.9,2.9
tcp
Danny O'Brien,National,27645,65.2,1.2
Denise Ryan,Labor,14723,34.8,-1.2
Seat,Glen Waverley
fp
John Mullahy,Labor,18153,40.6,-1.5
Neil Angus,Liberal,17941,40.2,-8.0
Steph Partridge,Greens,4270,9.6,1.3
Scott Marsh,Democratic Labour,1856,4.1,3.9
Kristeen Huisman,Christian,972,2.2,2.2
Maddy Hance,Centre-left,802,1.8,1.8
Joyce Maree Harris,Freedom,664,1.5,1.5
tcp
John Mullahy,Labor,23809,53.3,4.2
Neil Angus,Liberal,20858,46.7,-4.2
Seat,Greenvale
fp
Iwan Walters,Labor,15628,41.5,-18.6
Usman Ghani,Liberal,9568,25.4,1.1
Maria Bengtsson,Christian,2778,7.4,7.4
Mutullah Can Yolbulan,Left-wing,2582,6.9,2.0
Fatma Erciyas,Independent,2416,6.4,6.4
Cristina Santa-Isabel,Greens,2194,5.8,-1.1
Rosanna Furina,Centre-left,1295,3.4,3.4
Lauren Styles,Freedom,1225,3.2,3.2
tcp
Iwan Walters,Labor,21506,57.1,-14.9
Usman Ghani,Liberal,16180,42.9,14.9
Seat,Hastings
fp
Briony Hutton,Liberal,16415,39.8,-5.0
Paul Mercurio,Labor,15361,37.3,-1.4
Paul Saunders,Greens,4118,10.0,-0.2
Tyson Jack,Centre-left,1736,4.2,-1.9
Janet Felicity Benson,Freedom,1235,3.0,3.0
Tom Sabo,Christian,1001,2.4,2.4
Camille De Wit,Democratic Labour,833,2.0,2.0
Robert Whitehill,Independent,533,1.3,1.3
tcp
Paul Mercurio,Labor,21174,51.4,1.3
Briony Hutton,Liberal,20058,48.6,-1.3
Seat,Hawthorn
fp
John Pesutto,Liberal,18728,42.3,-1.8
