MidDate,Quality Adjustment,Firm,TPP ALP,LNP FP,ALP FP,GRN FP,ONP FP,OTH FP
2013-11-22,1,ReachTEL,51,43.4,35.8,11,#N/A,9.9
2013-11-23,1,Nielsen,52,40,38,13,#N/A,9
2013-12-15,1,Essential,52,43,40,9,#N/A,9
2014-01-15,1,Essential,52,40,40,11,#N/A,8
2014-02-15,0,Essential,55,37,42,12,#N/A,8
2014-02-27,2,Nielsen,53,41,37,13,#N/A,9
2014-02-27,1,Galaxy,51,42,39,12,#N/A,7
2014-02-27,1,Newspoll,53,38,39,13,#N/A,10
2014-03-15,1,Essential,50,42,39,9,#N/A,10
2014-04-15,0,Essential,51,42,39,11,#N/A,8
2014-05-15,0,Essential,53,38,40,10,#N/A,12
2014-06-01,1,Newspoll,54,37,38,16,#N/A,9
2014-06-15,1,Essential,52,41,40,10,#N/A,9
2014-06-21,1,Nielsen,56,37,42,14,#N/A,7
2014-07-19,2,Nielsen,51,41,35,16,#N/A,8
2014-08-01,1,Newspoll,55,35,37,16,#N/A,12
2014-08-15,2,Galaxy,52,40,38,12,#N/A,10
2014-09-15,1,Essential,52,39,39,11,#N/A,11
2014-09-28,1,SMS Morgan,54,37.5,34,18,#N/A,10.5
2014-10-12,3,Essential,54,38,38,16.5,#N/A,7.5
2014-10-15,1,Essential,52,39,38,12,#N/A,11
2014-10-23,2,Galaxy,52,40,38,13,#N/A,9
2014-10-24,1,ReachTEL,53,38.6,37.5,13.3,#N/A,10.6
2014-10-26,1,SMS Morgan,52.5,37.5,34,18.5,#N/A,10
2014-10-27,1,Ipsos,53,39,37,17,#N/A,9
2014-10-29,2,Newspoll,54,39,41,13,#N/A,7
2014-11-08,2,Ipsos,53,39,39,16,#N/A,6
2014-11-11,1,SMS Morgan,53.5,38,36,18.5,#N/A,7.5
2014-11-13,1,Essential,53,40,39,13,#N/A,8
2014-11-14,1,SMS Morgan,55,35,35.5,19.5,#N/A,10
2014-11-19,1,Galaxy,52,40,39,13,#N/A,8
2014-11-23,0,SMS Morgan,52,39.5,33.5,17.5,#N/A,9.5
2014-11-25,0,Galaxy,52,40,39,13,#N/A,8
2014-11-26,0,Newspoll,52,40,39,12,#N/A,9
2014-11-26,0,Ipsos,50,42,35,15,#N/A,8
2014-11-27,0,SMS Morgan,50,44.5,36,13.5,#N/A,6
2014-11-27,1,ReachTEL,52,39.7,38.3,13.5,#N/A,8.5
2015-01-27,2,SMS Morgan,59,35,45,11.5,#N/A,8.5
2015-02-14,1,SMS Morgan,54.5,39.5,41.5,11.5,#N/A,7.5
2015-03-26,0,SMS Morgan,56,38,43,12,#N/A,6.5
2015-04-12,0,SMS Morgan,54,40,41,11.5,#N/A,7.5
2015-05-23,0,SMS Morgan,56.5,38.5,43.5,12.5,#N/A,5.5
2015-06-01,1,Newspoll,58,35,41,14,#N/A,10
2015-06-20,0,SMS Morgan,56.5,38.5,42,13,#N/A,6.5
2015-08-01,0,SMS Morgan,56.5,38,41,14,#N/A,7
