fed,2005-01-28,2006-12-04,2008-09-16,2009-12-01,2010-06-24,2013-06-26,2015-09-14,2018-08-24
nsw,2005-08-03,2005-09-01,2008-09-05,2009-12-04,2014-04-17,2015-01-05,2017-01-12,2018-11-10
vic,2006-05-08,2013-03-06,2007-07-30
qld,2007-09-13,2016-05-06
wa,2006-03-24,2008-01-17,2008-08-04,2012-01-23,2019-06-13
sa,2007-04-12,2009-07-08,2011-10-21,2013-01-31
