ALP,ALP FP
LNP,LNP FP,LIB FP
Misc-c,GRN FP,NAT FP,FF FP
Misc-p,UAP FP,ONP FP,SAB FP,SFF FP,DEM FP,KAP FP
OTH,OTH FP
xOTH,xOTH FP
