ALP,ALP FP
LNP,LNP FP,LIB FP
Misc-c,GRN FP,NAT FP,FF FP,DLP FP
Misc-p,ONP FP,UAP FP,SAB FP,SFF FP,DEM FP,KAP FP
OTH,OTH FP
xOTH,xOTH FP
TPP,@TPP
