2028,fed,500
2025,fed,500
2022,fed,500
2019,fed,1000
2016,fed,1000
2013,fed,1000
2010,fed,500
2007,fed,1000
2004,fed,500
2001,fed,500
1998,fed,500
1996,fed,500
1993,fed,500
1990,fed,500
1987,fed,500
1984,fed,300
1983,fed,300
1980,fed,300
1977,fed,300
1975,fed,300
1974,fed,300
1972,fed,300
2027,nsw,300
2023,nsw,500
2019,nsw,400
2015,nsw,500
2011,nsw,500
2007,nsw,500
2003,nsw,500
1999,nsw,500
1995,nsw,300
1991,nsw,300
1988,nsw,300
2026,vic,500
2022,vic,500
2018,vic,500
2014,vic,500
2010,vic,500
2006,vic,500
2002,vic,500
1999,vic,500
1996,vic,500
1992,vic,300
1988,vic,300
2028,qld,500
2024,qld,500
2020,qld,400
2017,qld,500
2015,qld,500
2012,qld,500
2009,qld,500
2006,qld,500
2004,qld,300
2001,qld,300
1998,qld,300
1995,qld,300
1992,qld,300
1989,qld,300
2029,wa,300
2025,wa,300
2021,wa,300
2017,wa,400
2013,wa,300
2008,wa,500
2005,wa,300
2001,wa,300
1996,wa,300
1993,wa,300
1989,wa,300
2026,sa,500
2022,sa,300
2018,sa,400
2014,sa,400
2010,sa,300
2006,sa,300
2002,sa,300
1997,sa,300
1993,sa,300
1989,sa,300
