MidDate,Firm,Brand,@TPP,LNP FP,ALP FP,GRN FP,ONP FP,SFF FP,DEM FP,OTH FP,GLApp,GLDis,Comments
2014-10-01,Newspoll,,45,42,33,13,#N/A,#N/A,#N/A,12,56,20,
2014-10-16,Essential,,46,46,36,8,#N/A,#N/A,#N/A,10,,,
2014-10-26,SMS Morgan,,44,46,34,10.5,#N/A,#N/A,#N/A,9.5,,,
2014-11-20,Galaxy,,44,46,34,11,#N/A,#N/A,#N/A,9,,,
2014-11-20,Ipsos,,46,44,36,11,#N/A,#N/A,#N/A,9,60,18,
2014-11-23,SMS Morgan,,45,44,32.5,12.5,#N/A,#N/A,#N/A,11,,,
2014-12-01,Newspoll,,44,44,33,11,#N/A,#N/A,#N/A,12,60,20,
2014-12-10,Essential,,48,45,38,7,#N/A,#N/A,#N/A,10,,,
2015-01-08,Galaxy,,46,44,36,11,#N/A,#N/A,#N/A,9,,,
2015-01-17,SMS Morgan,,46,44.5,35,11,#N/A,#N/A,#N/A,9.5,,,
2015-01-22,Galaxy,,46,45,36,11,#N/A,#N/A,#N/A,8,,,
2015-02-06,Ipsos,,47,46,34,12,#N/A,#N/A,#N/A,9,60,18,
2015-02-15,SMS Morgan,,44.5,45,34,9.5,#N/A,#N/A,#N/A,11.5,,,
2015-02-19,Galaxy,,47,43,36,10,#N/A,#N/A,#N/A,11,,,
2015-02-25,Newspoll,,46,43,36,11,#N/A,#N/A,#N/A,10,59,26,
2015-02-26,ReachTEL,,47,44.6,35,10,#N/A,#N/A,#N/A,10.4,,,
2015-03-06,ReachTEL,,47,44,34.8,10.2,#N/A,#N/A,#N/A,11,,,
2015-03-12,Galaxy,,46,44,36,10,#N/A,#N/A,#N/A,10,,,
2015-03-14,SMS Morgan,,44.5,46.5,33.5,11.5,#N/A,#N/A,#N/A,8.5,,,
2015-03-16,Essential,,47,44,36,9,#N/A,#N/A,#N/A,11,,,
2015-03-19,Lonergan,,45,46,34,10,#N/A,#N/A,#N/A,10,,,
2015-03-10,Galaxy,,46,45,36,10,#N/A,#N/A,#N/A,9,,,
2015-03-20,Ipsos,,46,47,32,13,#N/A,#N/A,#N/A,8,60,22,
2015-03-21,Lonergan,,43,47,31,11,#N/A,#N/A,#N/A,11,,,
2015-03-22,SMS Morgan,,44,45.5,32.5,12,#N/A,#N/A,#N/A,13,,,
2015-03-25,Galaxy,,45,45,34,11,#N/A,#N/A,#N/A,10,,,
2015-03-25,Newspoll,,45,44,34,11,#N/A,#N/A,#N/A,11,57,29,
2015-03-26,ReachTEL,,46,45.5,33.8,10.5,#N/A,#N/A,#N/A,10.3,48.8,23.3,
2015-03-26,SMS Morgan,,42.5,49,29,12.5,#N/A,#N/A,#N/A,9.5,,,
2015-04-12,SMS Morgan,,45.5,47.5,31,12.5,#N/A,#N/A,#N/A,9,,,
2015-05-23,SMS Morgan,,41.5,53.5,29.5,12,#N/A,#N/A,#N/A,5,,,
2015-06-20,SMS Morgan,,43,49.5,27.5,14,#N/A,#N/A,#N/A,9,,,
2015-08-01,SMS Morgan,,44,49.5,28.5,15,#N/A,#N/A,#N/A,6.5,,,
2015-08-30,SMS Morgan,,43,49,25,17.5,#N/A,#N/A,#N/A,18.5,,,
2015-09-01,Newspoll2,,44,47,33,11,#N/A,#N/A,#N/A,9,63,23,
2015-10-15,Essential,,44,48,34,9,#N/A,#N/A,#N/A,10,,,
2015-10-12,SMS Morgan,,39.5,54,24.5,13.5,#N/A,#N/A,#N/A,8,,,
2015-11-15,Essential,,44,48,33,9,#N/A,#N/A,#N/A,10,,,
2015-12-01,Newspoll2,,44,48,33,10,#N/A,#N/A,#N/A,9,61,22,
2015-12-06,SMS Morgan,,39.5,52,22.5,15,#N/A,#N/A,#N/A,10.5,,,
2015-12-15,Essential,,44,47,33,11,#N/A,#N/A,#N/A,10,,,
2016-01-15,Essential,,45,47,34,10,#N/A,#N/A,#N/A,9,,,
2016-01-31,SMS Morgan,,40.5,52,24.5,14.5,#N/A,#N/A,#N/A,9,,,
2016-02-15,Essential,,45,46,34,9,#N/A,#N/A,#N/A,11,,,
2016-03-15,Essential,,43,49,33,10,#N/A,#N/A,#N/A,9,,,
2016-03-27,SMS Morgan,,45,46,27,15.5,#N/A,#N/A,#N/A,11.5,,,
2016-05-16,Essential,,48,44,37,9,#N/A,#N/A,#N/A,10,,,
2016-05-21,SMS Morgan,,46.5,46,29,17,#N/A,#N/A,#N/A,8,,,
2016-07-15,Essential,,47,45,36,9,#N/A,#N/A,#N/A,10,,,
2016-08-21,SMS Morgan,,49.5,39,30.5,13,#N/A,#N/A,#N/A,14.5,,,
2016-08-15,Essential,,47,45,36,9,#N/A,#N/A,#N/A,11,,,
2016-08-25,ReachTEL,,50,42.9,38,8.7,#N/A,#N/A,#N/A,10.4,,,
2016-09-01,Newspoll2,,49,42,36,11,#N/A,#N/A,#N/A,11,39,46,
2016-09-15,Essential,,50,42,39,9,#N/A,#N/A,#N/A,11,,,
2016-10-01,SMS Morgan,,51.5,37,31.5,14,#N/A,#N/A,#N/A,9,,,
2016-10-15,Essential,,50,43,39,8,#N/A,#N/A,#N/A,10,,,
2016-11-15,Essential,,47,44,36,9,#N/A,#N/A,#N/A,11,,,
2016-11-20,Newspoll2,,49,41,36,11,#N/A,#N/A,#N/A,12,35,50,
2016-12-01,ReachTEL,,47,43.8,35,8.6,#N/A,#N/A,#N/A,12.5,,,
2016-12-15,Essential,,50,42,39,9,#N/A,#N/A,#N/A,10,,,
2017-01-20,ReachTEL,,45,42.7,28,8.4,16.3,#N/A,#N/A,4.6,,,
2017-02-15,Essential,,48,43,36,9,#N/A,#N/A,#N/A,12,,,
2017-03-01,Newspoll2,,49,40,34,10,8,#N/A,#N/A,8,44,21,
2017-05-16,Essential,,49,42,37,10,#N/A,#N/A,#N/A,11,,,
2017-07-16,Essential,,48,43,37,9,#N/A,#N/A,#N/A,11,,,
2017-08-16,Essential,,49,43,38,9,#N/A,#N/A,#N/A,10,,,
2017-09-16,Essential,,49,43,38,8,#N/A,#N/A,#N/A,10,,,
2017-10-05,ReachTEL,,48,40.9,33.7,9.9,8.2,2.4,#N/A,4.1,,,
2017-10-16,Essential,,53,39,40,10,#N/A,#N/A,#N/A,11,,,
2017-11-16,Essential,,49,43,37,9,#N/A,#N/A,#N/A,10,,,
2017-12-16,Essential,,52,40,40,9,#N/A,#N/A,#N/A,11,,,
2018-02-17,Newspoll2,,50,38,34,11,#N/A,#N/A,#N/A,17,45,35,
2018-03-15,ReachTEL,,48,44.7,34.6,10,5.4,#N/A,#N/A,5.2,,,
2018-09-20,ReachTEL,,50,37.3,33.5,10.8,4.5,6.5,#N/A,7.4,,,
2018-11-29,Galaxy,,52,37,39,9,8,#N/A,#N/A,7,,,
2018-11-30,uComms,,51,37.7,35.5,9.9,7.7,3.4,#N/A,6,,,
2019-01-27,Newspoll2,,50,39,36,10,6,#N/A,#N/A,9,41,43,
2019-02-13,Essential,,51,39,36,10,8,#N/A,#N/A,7,,,
2019-03-07,uComms,,51,37.5,35.8,10.1,5.9,4.8,#N/A,5.9,,,
2019-03-10,Newspoll2,,50,40,36,10,5,#N/A,#N/A,14,44,38,
2019-03-16,Galaxy,,50,41,38,9,1,3,#N/A,8,,,
2019-03-20,Newspoll2,,49,41,35,10,#N/A,#N/A,#N/A,14,43,42,
2020-04-24,Newspoll2,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69,23,#Date estimated
2020-06-26,Newspoll2,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,68,26,#Date estimated
2020-10-17,Newspoll2,YouGov,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,68,26,
2020-10-17,Essential,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,67,22,
2020-10-22,Ipsos,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,64,16,
2021-05-01,ResolvePM,,#N/A,44,28,12,#N/A,4,#N/A,12,,,
2021-07-01,ResolvePM,,#N/A,43,28,12,#N/A,1,#N/A,16,,,
2021-09-03,ResolvePM,,#N/A,41,30,11,#N/A,1,#N/A,16,,,
2021-11-01,ResolvePM,,#N/A,41,31,10,#N/A,2,#N/A,16,,,
2022-02-01,ResolvePM,,#N/A,37,34,8,#N/A,2,#N/A,19,,,
2022-06-24,Essential,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,49,35,#Major party primary votes given (LNP 37 ALP 34) but undecided component unknown
2022-09-01,ResolvePM,,#N/A,30,43,10,#N/A,2,#N/A,15,,,
2022-09-07,Essential,,#N/A,41.83908046,36.7816092,9.770114943,#N/A,#N/A,#N/A,11.6091954,,,
2022-09-15,Morgan multi-mode,,53,34,34,12.5,3.5,1,#N/A,15,,,
2022-09-21,Newspoll2,,54,35,40,12,#N/A,#N/A,#N/A,13,47,41,
2022-10-15,Freshwater,,54,36,37,11,#N/A,1,#N/A,16,37,35,
2022-10-15,Morgan multi-mode,,57,32,36.5,9.5,5.5,1,#N/A,15.5,,,
2022-11-01,ResolvePM,,#N/A,35,38,11,#N/A,1,#N/A,15,,,
2022-11-15,Morgan multi-mode,,52,37,35,11.5,5,1.5,#N/A,10,,,
2022-12-15,Morgan multi-mode,,55,33.5,33.5,12,4.5,1,#N/A,15.5,,,
2023-01-16,Newspoll2,YouGov,56,33,39,11,#N/A,#N/A,#N/A,17,,,
2023-01-16,Morgan multi-mode,,52,35,32.5,9.5,6.5,1.5,#N/A,15,,,
2023-01-20,Essential,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,47,36,
2023-01-22,ResolvePM,,#N/A,34,37,12,#N/A,2,#N/A,16,,,
2023-02-22,Newspoll2,,52,37,36,12,#N/A,#N/A,#N/A,15,50,41,
2023-02-24,Freshwater,,53,37,39,10,#N/A,1,#N/A,14,,,
2023-02-25,ResolvePM,,#N/A,32,38,11,#N/A,#N/A,#N/A,20,,,
2023-02-26,SMS Morgan,,52.5,32.5,33.5,11,8.5,#N/A,#N/A,14.5,53,47,
2023-03-12,SMS Morgan,,53.5,34,34,13,2,#N/A,#N/A,17,,,
2023-03-17,ResolvePM2,,52.5,38,38,8,#N/A,#N/A,#N/A,16,52,32,
2023-03-20,Freshwater,,53,37,37,10,#N/A,#N/A,#N/A,16,,,
2023-03-21,Newspoll2,,54.5,35,38,11,#N/A,#N/A,#N/A,16,41,44,
2023-05-01,ResolvePM,,#N/A,31,44,9,#N/A,#N/A,#N/A,15,,,
2023-07-01,ResolvePM,,#N/A,32,41,10,#N/A,#N/A,#N/A,16,,,
2023-09-01,ResolvePM,,#N/A,36,38,9,#N/A,#N/A,#N/A,17,,,
2024-02-01,ResolvePM,,#N/A,38,34,12,#N/A,#N/A,#N/A,17,,,
2024-04-05,ResolvePM,,#N/A,36,33,12,#N/A,#N/A,#N/A,19,,,
2024-04-01,Redbridge,,50.5,40,35,11,#N/A,#N/A,#N/A,14,,,#Date estimated
2024-05-31,ResolvePM,,#N/A,35,32,11,#N/A,#N/A,#N/A,22,,,
2024-07-26,ResolvePM,,#N/A,38,30,12,#N/A,#N/A,#N/A,20,,,
2024-08-18,Wolf&Smith,,50,38,32,12,#N/A,#N/A,#N/A,18,,,
2024-09-20,ResolvePM,,#N/A,37,32,11,#N/A,#N/A,#N/A,20,,,
2024-11-23,Redbridge,,50.5,41,37,9,#N/A,#N/A,#N/A,13,,,#Date estimated
2024-12-01,ResolvePM,,#N/A,37,33,11,#N/A,#N/A,#N/A,20,,,#Date estimated
2025-02-01,ResolvePM,,#N/A,38,29,14,#N/A,#N/A,#N/A,19,,,#Date estimated
2025-03-25,DemosAU,,54,34,33,14,#N/A,#N/A,#N/A,19,,,
2025-04-01,ResolvePM,,#N/A,36,33,11,#N/A,#N/A,#N/A,20,,,
2025-07-01,ResolvePM,,#N/A,32,38,13,#N/A,#N/A,#N/A,18,,,#Date estimated
