Adelaide,fed,0
Aston,fed,1
Ballarat,fed,2
Banks,fed,0
Barker,fed,3
Barton,fed,0
Bass,fed,2
Bean,fed,0
Bendigo,fed,2
Bennelong,fed,0
Berowra,fed,1
Blair,fed,2
Blaxland,fed,0
Bonner,fed,1
Boothby,fed,1
Bowman,fed,1
Braddon,fed,3
Bradfield,fed,0
Brand,fed,1
Brisbane,fed,0
Bruce,fed,1
Bullwinkel,fed,1
Burt,fed,1
Calare,fed,3
Calwell,fed,1
Canberra,fed,0
Canning,fed,1
Capricornia,fed,2
Casey,fed,3
Chifley,fed,1
Chisholm,fed,0
Clark,fed,0
Cook,fed,0
Cooper,fed,0
Corangamite,fed,2
Corio,fed,2
Cowan,fed,0
Cowper,fed,2
Cunningham,fed,2
Curtin,fed,0
Dawson,fed,3
Deakin,fed,1
Dickson,fed,1
Dobell,fed,2
Dunkley,fed,1
Durack,fed,3
Eden-Monaro,fed,3
Fadden,fed,1
Fairfax,fed,3
Farrer,fed,3
Fenner,fed,0
Fisher,fed,3
Flinders,fed,3
Flynn,fed,3
Forde,fed,1
Forrest,fed,3
Fowler,fed,1
Franklin,fed,1
Fraser,fed,0
Fremantle,fed,0
Gellibrand,fed,0
Gilmore,fed,3
Gippsland,fed,3
Goldstein,fed,0
Gorton,fed,1
Grayndler,fed,0
Greenway,fed,1
Grey,fed,3
Griffith,fed,0
Groom,fed,2
Hasluck,fed,1
Hawke,fed,2
Herbert,fed,2
Higgins,fed,0
Hindmarsh,fed,0
Hinkler,fed,2
Holt,fed,1
Hotham,fed,0
Hughes,fed,1
Hume,fed,2
Hunter,fed,3
Indi,fed,3
Isaacs,fed,1
Jagajaga,fed,1
Kennedy,fed,3
Kingsford Smith,fed,0
Kingston,fed,1
Kooyong,fed,0
La Trobe,fed,2
Lalor,fed,1
Leichhardt,fed,3
Lilley,fed,0
Lindsay,fed,1
Lingiari,fed,3
Longman,fed,2
Lyne,fed,3
Lyons,fed,3
Macarthur,fed,1
Mackellar,fed,1
Macnamara,fed,0
Macquarie,fed,2
Makin,fed,1
Mallee,fed,3
Maranoa,fed,3
Maribyrnong,fed,0
Mayo,fed,3
McEwen,fed,3
McMahon,fed,1
McPherson,fed,2
Melbourne,fed,0
Menzies,fed,1
Mitchell,fed,1
Monash,fed,3
Moncrieff,fed,2
Moore,fed,1
Moreton,fed,0
New England,fed,3
Newcastle,fed,2
Nicholls,fed,3
North Sydney,fed,0
O'Connor,fed,3
Oxley,fed,1
Page,fed,3
Parkes,fed,3
Parramatta,fed,0
Paterson,fed,2
Pearce,fed,1
Perth,fed,0
Petrie,fed,1
Rankin,fed,1
Reid,fed,0
Richmond,fed,3
Riverina,fed,3
Robertson,fed,2
Ryan,fed,1
Scullin,fed,1
Shortland,fed,2
Solomon,fed,0
Spence,fed,1
Stirling,fed,0
Sturt,fed,0
Swan,fed,0
Sydney,fed,0
Tangney,fed,0
Wannon,fed,3
Warringah,fed,0
Watson,fed,0
Wentworth,fed,0
Werriwa,fed,1
Whitlam,fed,2
Wide Bay,fed,3
Wills,fed,1
Wright,fed,3
Balaclava,fed,0
Batman,fed,0
Bland,fed,3
Bonython,fed,1
Burke,fed,0
Charlton,fed,2
Corinella,fed,1
Darling Downs,fed,3
Denison,fed,0
Diamond Valley,fed,1
Dundas,fed,0
Gwydir,fed,0
Hawker,fed,1
Henty,fed,0
Kalgoorlie,fed,3
Lowe,fed,0
McMillan,fed,3
