MidDate,Firm,Brand,@TPP,LNP FP,ALP FP,GRN FP,ONP FP,KAP FP,UAP FP,OTH FP,GLApp,GLDis,Comments
1985-12-15,Newspoll,,#N/A,53,43,#N/A,#N/A,#N/A,#N/A,4,48,46,
1986-02-15,Newspoll,,#N/A,56,40,#N/A,#N/A,#N/A,#N/A,4,49,41,
1986-05-15,Newspoll,,#N/A,56,41,#N/A,#N/A,#N/A,#N/A,3,50,44,
1986-08-15,Newspoll,,#N/A,56,40,#N/A,#N/A,#N/A,#N/A,4,48,47,
1986-10-04,Newspoll,,#N/A,52,45,#N/A,#N/A,#N/A,#N/A,3,43,50,
1986-10-28,Newspoll,,#N/A,54.5,41.5,#N/A,#N/A,#N/A,#N/A,4,44,51,
1986-12-15,Newspoll,,#N/A,58,39,#N/A,#N/A,#N/A,#N/A,3,51,44,
1987-02-15,Newspoll,,#N/A,54,42,#N/A,#N/A,#N/A,#N/A,4,45,50,
1987-05-15,Newspoll,,#N/A,56,40,#N/A,#N/A,#N/A,#N/A,4,45,50,
1987-08-15,Newspoll,,#N/A,53,42,#N/A,#N/A,#N/A,#N/A,5,34,60,
1987-10-15,Newspoll,,#N/A,49,45,#N/A,#N/A,#N/A,#N/A,6,31,62,
1987-11-20,Newspoll,,#N/A,56,39,#N/A,#N/A,#N/A,#N/A,5,28,68,#69-14 satisfaction for Ahern
1988-02-15,Newspoll,,#N/A,53,40,#N/A,#N/A,#N/A,#N/A,7,63,17,
1988-05-15,Newspoll,,#N/A,52,40,#N/A,#N/A,#N/A,#N/A,8,49,36,
1988-08-15,Newspoll,,#N/A,51,42,#N/A,#N/A,#N/A,#N/A,7,52,39,
1988-11-19,Newspoll,,#N/A,46,46,#N/A,#N/A,#N/A,#N/A,8,47,41,
1989-02-15,Newspoll,,#N/A,48,45,#N/A,#N/A,#N/A,#N/A,7,37,50,
1989-05-15,Newspoll,,#N/A,45,48,#N/A,#N/A,#N/A,#N/A,7,43,50,
1989-08-15,Newspoll,,#N/A,47,44,#N/A,#N/A,#N/A,#N/A,9,36,55,
1989-11-11,Newspoll,,#N/A,46,50,#N/A,#N/A,#N/A,#N/A,4,33,47,
1989-11-30,Newspoll,,#N/A,45.5,47.5,#N/A,#N/A,#N/A,#N/A,7,33,52,
1992-02-15,Newspoll,,#N/A,41,51,#N/A,#N/A,#N/A,#N/A,8,74,20,
1992-05-15,Newspoll,,#N/A,38,53,#N/A,#N/A,#N/A,#N/A,9,73,20,
1992-08-15,Newspoll,,#N/A,36,55,#N/A,#N/A,#N/A,#N/A,9,75,18,
1992-09-09,Newspoll,,#N/A,42,51,#N/A,#N/A,#N/A,#N/A,7,65,28,
1992-09-16,Newspoll,,#N/A,43,49,#N/A,#N/A,#N/A,#N/A,8,61,32,
1992-11-15,Newspoll,,#N/A,35,53,#N/A,#N/A,#N/A,#N/A,12,75,18,
1993-02-15,Newspoll,,#N/A,39,51,#N/A,#N/A,#N/A,#N/A,10,72,21,
1993-05-15,Newspoll,,#N/A,42,48,#N/A,#N/A,#N/A,#N/A,10,68,25,
1993-08-15,Newspoll,,#N/A,45,45,#N/A,#N/A,#N/A,#N/A,10,64,29,
1993-11-15,Newspoll,,#N/A,48,42,#N/A,#N/A,#N/A,#N/A,10,64,27,
1994-02-15,Newspoll,,#N/A,41,49,#N/A,#N/A,#N/A,#N/A,10,74,18,
1994-05-15,Newspoll,,#N/A,39,51,#N/A,#N/A,#N/A,#N/A,10,70,21,
1994-08-15,Newspoll,,#N/A,45,45,#N/A,#N/A,#N/A,#N/A,10,67,23,
1994-11-15,Newspoll,,#N/A,39,51,#N/A,#N/A,#N/A,#N/A,10,73,22,
1995-02-15,Newspoll,,#N/A,45,45,#N/A,#N/A,#N/A,#N/A,10,66,24,
1995-05-15,Newspoll,,#N/A,42,47,#N/A,#N/A,#N/A,#N/A,11,68,23,
1995-07-01,Newspoll,,#N/A,44,45,#N/A,#N/A,#N/A,#N/A,11,60,32,
1995-07-13,Newspoll,,50,45.5,45,#N/A,#N/A,#N/A,#N/A,9.5,54,38,
1995-11-15,Newspoll,,#N/A,48,42,#N/A,#N/A,#N/A,#N/A,10,57,36,
1996-02-15,Newspoll,,#N/A,49,41,#N/A,#N/A,#N/A,#N/A,10,46,13,
1996-04-01,F2F Morgan,,44,49.5,38.5,2.5,#N/A,#N/A,#N/A,9.5,,,
1996-05-15,Newspoll,,#N/A,52,40,#N/A,#N/A,#N/A,#N/A,8,52,33,
1996-05-20,F2F Morgan,,44.5,50,38.5,2.5,#N/A,#N/A,#N/A,9,,,
1996-08-15,Newspoll,,#N/A,49,42,#N/A,#N/A,#N/A,#N/A,9,45,42,
1996-11-15,Newspoll,,#N/A,46,41,#N/A,#N/A,#N/A,#N/A,13,39,48,
1997-02-15,Newspoll,,#N/A,41,44,#N/A,#N/A,#N/A,#N/A,15,41,45,
1997-05-15,Newspoll,,#N/A,41,41,#N/A,#N/A,#N/A,#N/A,18,43,42,
1997-08-15,Newspoll,,#N/A,41,40,#N/A,#N/A,#N/A,#N/A,19,43,46,
1997-11-15,Newspoll,,#N/A,38,43,#N/A,#N/A,#N/A,#N/A,19,47,41,
1998-02-15,Newspoll,,#N/A,39,41,2,5,#N/A,#N/A,13,46,41,
1998-03-27,Morgan Phone,,52,37,29,3,13.5,#N/A,#N/A,7.5,,,
1998-05-15,Newspoll,,#N/A,39,41,2,10,#N/A,#N/A,8,46,41,
1998-05-30,Newspoll,,#N/A,34,44,2,15,#N/A,#N/A,5,39,47,
