fed,1949-12-19,LNP,Menzies
fed,1966-01-26,LNP,Holt
fed,1968-01-10,LNP,Gorton
fed,1971-03-10,LNP,McMahon
fed,1972-12-05,ALP,Whitlam
fed,1975-11-11,LNP,Fraser
fed,1983-03-11,ALP,Hawke
fed,1991-12-20,ALP,Keating
fed,1996-03-11,LNP,Howard
fed,2007-12-03,ALP,Rudd
fed,2010-06-24,ALP,Gillard
fed,2013-06-27,ALP,Rudd2
fed,2013-09-18,LNP,Abbott
fed,2015-09-15,LNP,Turnbull
fed,2018-08-24,LNP,Morrison
fed,2022-05-23,ALP,Albanese
nsw,1959-10-23,ALP,Heffron
nsw,1964-04-30,ALP,Renshaw
nsw,1965-05-13,LNP,Askin
nsw,1975-01-03,LNP,Lewis
nsw,1976-01-23,LNP,Willis
nsw,1976-05-14,ALP,Wran
nsw,1986-07-04,ALP,Unsworth
nsw,1988-03-25,LNP,Greiner
nsw,1992-06-24,LNP,Fahey
nsw,1995-04-04,ALP,Carr
nsw,2005-08-03,ALP,Iemma
nsw,2008-09-05,ALP,Rees
nsw,2009-12-04,ALP,Keneally
nsw,2011-03-28,LNP,O'Farrell
nsw,2014-04-17,LNP,Baird
nsw,2017-01-23,LNP,Berejiklian
nsw,2021-10-05,LNP,Perrottet
vic,1955-06-07,LNP,Bolte
vic,1972-08-23,LNP,Hamer
vic,1981-06-05,LNP,Thompson
vic,1982-04-08,ALP,Cain
vic,1990-08-10,ALP,Kirner
vic,1992-10-06,LNP,Kennett
vic,1999-10-20,ALP,Bracks
vic,2007-07-30,ALP,Brumby
vic,2010-12-02,LNP,Baillieu
vic,2013-03-06,LNP,Napthine
vic,2014-12-04,ALP,Andrews
qld,1957-08-12,LNP,Nicklin
qld,1968-01-17,LNP,Pizzey
qld,1968-08-08,LNP,Bjelke-Petersen
qld,1987-12-01,LNP,Ahern
qld,1989-09-25,LNP,Cooper
qld,1989-12-07,ALP,Goss
qld,1996-02-19,LNP,Borbidge
qld,1998-06-20,ALP,Beattie
qld,2007-09-13,ALP,Bligh
qld,2012-03-26,LNP,Newman
qld,2015-02-14,ALP,Palaszczuk
wa,1959-04-02,LNP,Brand
wa,1974-03-03,ALP,Tonkin
wa,1974-04-08,LNP,Court
wa,1982-01-25,LNP,O'Connor
wa,1983-02-25,ALP,Burke
wa,1988-02-25,ALP,Dowding
wa,1990-03-13,ALP,Lawrence
wa,1993-02-16,LNP,Court2
wa,2001-02-16,ALP,Gallop
wa,2006-02-03,ALP,Carpenter
wa,2008-09-23,LNP,Barnett
wa,2017-03-17,ALP,McGowan
wa,2023-06-08,ALP,Cook
sa,1938-11-05,LNP,Playford
sa,1965-03-10,ALP,Walsh
sa,1967-06-01,ALP,Dunstan
sa,1968-04-17,LNP,Hall
sa,1970-06-02,ALP,Dunstan
sa,1979-02-15,ALP,Corcoran
sa,1979-09-18,LNP,Tonkin
sa,1982-11-10,ALP,Bannon
sa,1992-09-04,ALP,Arnold
sa,1993-12-14,LNP,Brown
sa,1996-11-28,LNP,Olsen
sa,2001-10-22,LNP,Kerin
sa,2002-03-05,ALP,Rann
sa,2011-10-21,ALP,Weatherill
sa,2018-03-19,LNP,Marshall
sa,2022-03-21,ALP,Malinauskas
