MidDate,Firm,Brand,@TPP,LNP FP,ALP FP,GRN FP,ONP FP,NXT FP,UAP FP,DEM FP,DLP FP,OTH FP,GLApp,GLDis,Comments
1950-05-15,F2F Morgan,,#N/A,54,45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,,,
1950-08-15,F2F Morgan,,#N/A,57,42,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,,,
1950-11-15,F2F Morgan,,#N/A,50,49,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,,,
1950-12-15,F2F Morgan,,#N/A,52,47,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,,,
1951-08-15,F2F Morgan,,#N/A,49,50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,,,
1951-11-15,F2F Morgan,,#N/A,45,54,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,,,
1952-02-15,F2F Morgan,,#N/A,47,52,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,,,
1952-05-15,F2F Morgan,,#N/A,43,56,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,,,
1952-10-15,F2F Morgan,,#N/A,40,59,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,,,
1953-02-15,F2F Morgan,,#N/A,39,60,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,,,
1953-06-15,F2F Morgan,,#N/A,45,54,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,,,
1953-09-15,F2F Morgan,,#N/A,45,54,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,,,
1953-12-15,F2F Morgan,,#N/A,48,51,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,,,
1954-02-15,F2F Morgan,,#N/A,47,52,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,,,
1954-03-15,F2F Morgan,,#N/A,49,49,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,,,
1954-05-15,F2F Morgan,,#N/A,51,48,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,,,
1954-09-15,F2F Morgan,,#N/A,52,48,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,,,
1954-10-15,F2F Morgan,,#N/A,53,47,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,,,
1954-12-15,F2F Morgan,,#N/A,53,46,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,,,
1955-04-15,F2F Morgan,,#N/A,52,48,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,,,
1955-05-15,F2F Morgan,,#N/A,56,43,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,,,
1955-07-15,F2F Morgan,,#N/A,57,42,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,,,
1955-08-15,F2F Morgan,,#N/A,52,47,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,,,
1955-12-15,F2F Morgan,,#N/A,50,45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5,,,
1956-02-15,F2F Morgan,,#N/A,52,47,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,,,
1956-03-15,F2F Morgan,,#N/A,53,47,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,,,
1956-07-15,F2F Morgan,,#N/A,51,48,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,,,
1956-12-15,F2F Morgan,,#N/A,49,50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,,,
1957-04-15,F2F Morgan,,#N/A,46,45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5,,,
1957-09-15,F2F Morgan,,#N/A,47,41,#N/A,#N/A,#N/A,#N/A,#N/A,11,1,,,
1958-02-15,F2F Morgan,,#N/A,49,42,#N/A,#N/A,#N/A,#N/A,#N/A,8,1,,,
1958-04-15,F2F Morgan,,#N/A,50,43,#N/A,#N/A,#N/A,#N/A,#N/A,6,1,,,
1958-08-15,F2F Morgan,,#N/A,50,40,#N/A,#N/A,#N/A,#N/A,#N/A,9,1,,,
1958-09-15,F2F Morgan,,#N/A,47,44,#N/A,#N/A,#N/A,#N/A,#N/A,8,1,,,
1959-02-15,F2F Morgan,,#N/A,48,45,#N/A,#N/A,#N/A,#N/A,#N/A,6,1,,,
1959-08-15,F2F Morgan,,#N/A,50,44,#N/A,#N/A,#N/A,#N/A,#N/A,5,1,,,
1959-10-15,F2F Morgan,,#N/A,51,44,#N/A,#N/A,#N/A,#N/A,#N/A,4,1,,,"#All polls above, and those marked as such below, are transcribed by Kevin Bonham from paper copies"
1960-02-15,F2F Morgan,,#N/A,49,46,#N/A,#N/A,#N/A,#N/A,#N/A,4,1,,,
1960-06-15,F2F Morgan,,#N/A,46,48,#N/A,#N/A,#N/A,#N/A,#N/A,5,1,,,
1960-12-15,F2F Morgan,,#N/A,44,49,#N/A,#N/A,#N/A,#N/A,#N/A,6,1,,,
1960-02-15,F2F Morgan,,#N/A,45,48,#N/A,#N/A,#N/A,#N/A,#N/A,6,1,,,#Transcribed
1960-04-15,F2F Morgan,,#N/A,47,48,#N/A,#N/A,#N/A,#N/A,#N/A,4,1,,,#Transcribed
1961-06-15,F2F Morgan,,#N/A,45,49,#N/A,#N/A,#N/A,#N/A,#N/A,5,1,,,
1961-08-15,F2F Morgan,,#N/A,51,44,#N/A,#N/A,#N/A,#N/A,#N/A,4,1,,,
1961-10-15,F2F Morgan,,#N/A,48,46,#N/A,#N/A,#N/A,#N/A,#N/A,5,1,,,
1962-02-15,F2F Morgan,,#N/A,44,52,#N/A,#N/A,#N/A,#N/A,#N/A,4,0,,,#Transcribed
1962-06-15,F2F Morgan,,#N/A,43,52,#N/A,#N/A,#N/A,#N/A,#N/A,4,1,,,
1962-08-15,F2F Morgan,,#N/A,42,52,#N/A,#N/A,#N/A,#N/A,#N/A,5,1,,,
1962-11-15,F2F Morgan,,#N/A,44,50,#N/A,#N/A,#N/A,#N/A,#N/A,5,1,,,
1963-02-15,F2F Morgan,,#N/A,44,50,#N/A,#N/A,#N/A,#N/A,#N/A,5,1,,,
1963-03-15,F2F Morgan,,#N/A,45,49,#N/A,#N/A,#N/A,#N/A,#N/A,5,1,,,#Transcribed
1963-04-15,F2F Morgan,,#N/A,47,47,#N/A,#N/A,#N/A,#N/A,#N/A,5,1,,,
