index,id,name,population,analysis_code,previous_election_tpp
0,rural-outer-west,Rural Outer West,1,,50
1,ballarat-bendigo,Ballarat & Bendigo,1,,50
2,rural-north-east,Rural North & East,1,,50
3,gippsland,Gippsland,1,,50
4,geelong,Geelong,1,,50
5,western-melbourne,Western Melbourne,1,,50
6,northern-melbourne,Northern Melbourne,1,,50
7,outer-east-melbourne,Outer East Melbourne,1,,50
8,inner-east-melbourne,Inner East Melbourne,1,,50
9,inner-melbourne,Inner Melbourne,1,,50
10,pakenham-line,Pakenham Line,1,,50
11,frankston-line,Frankston Line,1,,50
12,mornington-peninsula,Mornington Peninsula,1,,50
