Adelaide,fed,0.8973
Brand,fed,0.6291
Fraser,fed,1.3351
Pearce,fed,1.0746
Batman,fed,0.9793
Chifley,fed,0.8504
Farrer,fed,0.7708
Grayndler,fed,0.8746
Greenway,fed,0.9154
Hume,fed,0.6579
Indi,fed,0.7805
Kingsford Smith,fed,0.8916
Macarthur,fed,0.9891
Maribyrnong,fed,1.0023
Melbourne,fed,1.4238
Newcastle,fed,0.9942
North Sydney,fed,1.3171
Page,fed,0.6439
Richmond,fed,0.8055
Sydney,fed,1.3101
Wills,fed,0.8335
Aston,fed,1.2127
Barker,fed,0.5611
Bendigo,fed,0.7752
Bennelong,fed,1.0624
Berowra,fed,1.3758
Blair,fed,0.6656
Boothby,fed,1.5976
Bowman,fed,1.0499
Brisbane,fed,1.1672
Bruce,fed,1.2308
Calwell,fed,0.9955
Capricornia,fed,0.5305
Casey,fed,1.3831
Chisholm,fed,1.2442
Corangamite,fed,1.0538
Corio,fed,0.9592
Dawson,fed,0.5503
Deakin,fed,1.3271
Dickson,fed,0.8049
Dunkley,fed,1.0300
Fadden,fed,1.0477
Fairfax,fed,1.0552
Fisher,fed,0.9823
Flinders,fed,1.0907
Forde,fed,1.0455
Gellibrand,fed,0.9170
Goldstein,fed,1.1586
Grey,fed,0.3312
Griffith,fed,0.9838
Groom,fed,0.7532
Herbert,fed,0.7157
Higgins,fed,1.2883
Hindmarsh,fed,0.8203
Hinkler,fed,0.6344
Holt,fed,1.0737
Hotham,fed,1.0539
Isaacs,fed,1.3252
Jagajaga,fed,1.0972
Kennedy,fed,0.6771
Kingston,fed,1.1298
Kooyong,fed,1.2664
Lalor,fed,0.9972
La Trobe,fed,1.4982
Leichhardt,fed,0.7710
Lilley,fed,0.8819
Longman,fed,0.9306
Mackellar,fed,1.5460
Makin,fed,1.0721
Mallee,fed,0.6983
Maranoa,fed,0.7687
Mayo,fed,1.9010
McEwen,fed,0.9606
McMillan,fed,0.8545
McPherson,fed,0.8185
Melbourne Ports,fed,1.2315
Menzies,fed,1.1383
Moncrieff,fed,0.8115
Moreton,fed,0.9905
Murray,fed,0.6821
Oxley,fed,0.9293
Petrie,fed,0.9907
Port Adelaide,fed,0.7333
Rankin,fed,0.9349
Reid,fed,0.7998
Ryan,fed,1.4301
Scullin,fed,1.0543
Sturt,fed,1.0569
Wakefield,fed,0.7551
Warringah,fed,1.0277
Wentworth,fed,1.0979
Wide Bay,fed,0.7833
Banks,fed,1.0350
Barton,fed,0.7026
Blaxland,fed,0.6818
Bradfield,fed,1.2911
Canberra,fed,1.1483
Canning,fed,0.8597
Charlton,fed,1.2821
Cook,fed,0.8808
Cowan,fed,0.8589
Cowper,fed,0.8309
Cunningham,fed,1.1665
Curtin,fed,1.0470
Dobell,fed,0.9388
Eden-Monaro,fed,0.7446
Forrest,fed,0.7564
Fremantle,fed,0.8496
Gippsland,fed,0.8921
Hasluck,fed,0.9182
Hughes,fed,1.0685
Kalgoorlie,fed,0.6255
Lindsay,fed,0.8868
Lingiari,fed,0.9462
Lowe,fed,0.6457
Lyne,fed,0.7945
Macquarie,fed,1.2543
Mitchell,fed,1.0743
Moore,fed,0.9060
O'Connor,fed,0.4954
Parramatta,fed,0.9492
Paterson,fed,0.6435
Perth,fed,0.8146
