source_party_id,first_target_code,second_target_code,preference_to_first
labor,GRN,LNP,82
labor,ONP,LNP,33
labor,IND,LNP,82
labor,CA,LNP,80
labor,KAP,LNP,74
liberals,GRN,ALP,40
liberals,ONP,ALP,56
liberals,IND,ALP,80
greens,IND,LNP,85
national,GRN,ALP,40
national,ONP,ALP,56
national,IND,ALP,80
